Dates,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
02/07/2024,Bihar,38.19,27.32,33.43,81.72,154.08,120.83,114.47,80.22,44.46,56.19,182.56,136.86,123.81,127,158.59,104.79,47.54,283.16,23.32,25.78,35.89,40.19
02/07/2024,Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,30,40,43
02/07/2024,Chhattisgarh,42.13,38.63,40.13,91.38,164.38,114.5,113.75,94.38,43.5,58,204.5,154.88,128.88,129.88,142.25,114.13,48.5,299.38,23.38,35.63,41.25,54.63
02/07/2024,Delhi,40,29,32,97,177,143,127,90,44,56,207,148,129,128,139,104,58,243,26,35,50,40
02/07/2024,DNH and DD,49.67,41.33,47.33,94,177,150.67,132.67,96.33,43.67,65,192.33,153,134.67,136,128,107.67,63.67,350,27.33,36.67,39.67,72.33
02/07/2024,Goa,52.5,49.5,46.5,95,183.5,152.5,132.5,98,44,57.5,220,160,143,150,117.5,98,60.5,329,24.5,45,47,60
02/07/2024,Gujarat,43.25,38.13,40,88.13,171.38,127.5,119.13,93.5,43,61.38,177.13,143.5,127.63,129.13,125.63,104.75,56,251.88,16.25,35.13,40.5,60.38
02/07/2024,Haryana,39.5,29.5,32.5,78.5,143.5,108,107.75,86.5,44,58,176.33,144.67,123.67,123,148.33,96,49,215.67,24,21.67,36,27.67
02/07/2024,Himachal Pradesh,41.08,22,33.25,91.75,171.33,135.92,117,90.58,46.92,52.42,216.25,164.67,138.75,130.1,140.5,115.5,49.25,270.75,27.67,34.5,47,39.92
02/07/2024,Jammu and Kashmir,49.2,30.5,36.2,94,161.2,128,124.6,101,51.2,51.8,,151.4,133,129.2,142.5,120.33,55.6,306.4,27.25,34.6,46.4,47.6
02/07/2024,Jharkhand,39.89,31.72,35.37,86.26,160.68,120.63,113.79,83.05,45.82,59.19,180.77,141,127.16,125.83,150.94,106,51.65,288.59,24.47,30.22,36.94,52.61
02/07/2024,Karnataka,59.37,43.53,48,95.37,171,142.4,127.23,107.73,43.17,50.72,180.43,161.72,120.3,135.39,120.9,97.59,53.24,289.21,20.72,39.63,41.07,58.5
02/07/2024,Kerala,50.31,44.77,45.62,105.08,190.75,151.33,137,114.38,44.21,54.21,220.17,163,145.29,129,118.43,99.33,62.57,233.29,15.08,50.43,43.29,66.86
02/07/2024,Madhya Pradesh,41.19,29.32,34.51,86.11,166.13,119.74,115.55,91.64,43.43,57.48,190.62,136.34,120.09,113.02,136.43,110.52,48.62,252.91,19.43,32.77,38.43,55.11
02/07/2024,Maharashtra,53.47,39.26,43.26,92.16,178.53,135.74,126.53,96.42,43.26,59.89,183.95,160,129.58,112.42,122.74,103,55.47,303.11,23.74,43,40.32,62.95
02/07/2024,Manipur,50,43,40,95,180,135,140,92,55,,,150,145,145,,140,85,220,25,40,50,40
02/07/2024,Meghalaya,46.3,38.5,36.7,95.5,166,132.5,121.3,90,49.4,73.7,,134.5,138.5,125.7,171,126,73.83,374.2,21.3,37.4,48.1,81.5
02/07/2024,Mizoram,48,42.3,46,107.33,151,125.29,127.78,100.27,50.82,77.82,159.5,185.55,170.8,126.91,190.25,130.83,122.75,478.56,29.18,43.45,57.09,81.36
02/07/2024,Nagaland,41.75,42.88,48,102.92,131.5,131.25,121.67,97.69,50.06,73.29,200,138.88,166,149.88,195,142.5,84,322,17.88,33.38,59.38,76.56
02/07/2024,Odisha,38.67,37.8,39.85,83.56,164.52,121.37,112.07,81.96,44.77,52.32,181.5,143.48,115.12,130.7,116.44,95.19,51.04,280.43,25.81,32.44,39.33,58.67
02/07/2024,Puducherry,65,45,40,93,182,140,125,92,46,48,203,146,142,,110,101,48,298,26,57,48,47
02/07/2024,Punjab,39.93,25.13,31.07,91.53,161.8,128.07,117.53,99.13,44.6,61.07,202.31,128.67,122.47,116.8,134.69,102.55,53.8,281.47,26.4,30.67,45,38.8
02/07/2024,Rajasthan,41.31,29.34,32.88,77.1,129.19,112.63,104.03,90.75,42.43,52.7,183.56,146.46,120.64,135.4,156.52,108.75,44.23,303.61,20,26.2,36.37,38.55
02/07/2024,Sikkim,53.6,35.2,38.4,86,145,126.6,125,100,49,63.4,,167.8,128.4,138.75,176.25,,60.2,406,18.6,36.6,56,71.2
02/07/2024,Tamil Nadu,62.37,45.36,54.6,95.17,183.1,145.7,125.17,94.22,44.1,47.37,204.7,176.89,126.97,,113.93,93.97,56.93,315.9,24.53,49.43,46.23,49.93
02/07/2024,Telangana,54.33,42.4,44.9,80.11,166,129,118.6,92,41.5,64.5,162,164.5,122,149.5,115.2,97.1,55,302,19.8,35.9,46.2,60
02/07/2024,Tripura,38.25,,39,88,154,128,113,104.25,48.75,71.25,,133.75,122.67,116,139.75,100,69.75,221.5,10,34.25,46.75,65.25
02/07/2024,Uttar Pradesh,39.26,26.56,32.77,85.04,162.24,122.64,115.55,93.92,43.97,62.89,190.6,140.7,127.7,129.34,151.59,110.56,50.28,238.84,26.69,30.23,41.03,46.47
02/07/2024,Uttarakhand,37.75,26.75,34.75,90.5,160.5,122.5,123.25,105.5,42.75,61.25,155,139,130.75,131.75,147.75,116.5,56.75,263.75,28,35.25,44.75,42.5
02/07/2024,West Bengal,44.86,29.78,37.91,84.32,157.73,123.77,130.18,107.55,46.05,54.73,198.2,133.82,114.23,113.91,128,100.1,52.27,275.14,21.82,30.55,41.18,62.18
03/072024,Andaman and Nicobar,49,,68,95,174.33,155,138,100.67,55.33,73,232.5,172.33,165,,128.67,114,78,308.33,20.67,61.67,60,116.67
03/072024,Andhra Pradesh,60.8,44,47.6,88,176.8,139.4,126.6,102.8,42.6,60.4,166.8,167.8,110.2,147.33,111.2,90.2,59.2,317,22,36.6,39.8,48
03/072024,Arunachal pradesh,46,45,44.25,101.75,162.75,128,122.5,105,53.33,76,143.5,157.67,165.67,139.33,181,,76,298.5,18.33,38.33,46.67,74.33
03/072024,Assam,42.52,33.15,36.56,90.26,163.52,115.57,116.85,92.74,47.59,72,212.83,150.19,135.19,137.04,146.95,113.28,59.93,253.7,13.44,32.48,43.3,61.92
03/072024,Bihar,38.43,27.31,33.2,81.94,153.56,121.85,114.88,80.21,44.49,56,179.8,136.29,123.79,127.06,160,103.81,47.54,278.2,23.51,26.6,36.37,43.43
03/072024,Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,30,40,43
03/072024,Chhattisgarh,43.14,39.57,40.29,91.33,164.83,117.29,110.5,93.33,44,55.43,205.57,158.43,130.5,125.83,131.83,111,48.71,314.29,22.86,35.86,43.14,51.43
03/072024,Delhi,40,29,32,97,177,143,127,90,44,56,207,148,129,128,139,104,58,245,26,35,50,43
03/072024,DNH and DD,49.67,41.33,47.33,94,177,150.67,132.67,96.33,43.67,65,192.67,153,134.67,136,128,107.67,63.67,350,27.33,36.67,39.67,67.67
03/072024,Goa,53,49.5,46.5,95,185,153.5,133.5,98,44,57.5,220,160,143,150,117.5,98,60.5,329,24.5,46,47,65
03/072024,Gujarat,43.25,38.13,40.13,88.13,171.25,127.25,119,93.5,43,61.38,177.25,143.38,127.5,129.25,126,104.75,56,251.88,16.25,35,40.63,58.38
03/072024,Haryana,39.5,29.5,32.5,78.5,143.5,108,107.75,86.5,46.67,62.33,179.75,138.75,120.5,118.5,140,95,51,236.67,26.33,23.75,38.25,31
03/072024,Himachal Pradesh,41.08,22,33.25,91.75,171.33,136,117.08,90.67,46.92,52.42,217.25,165.42,138.75,130.2,140.5,115.5,49.33,270.92,27.67,34.5,47.08,42.75
03/072024,Jammu and Kashmir,49.2,30.5,36.2,93,160.8,126.8,123.2,101,51.2,52,,151.4,132,128.2,140,120.33,55.6,305.2,27.25,34.6,46.4,48.6
03/072024,Jharkhand,40.17,31.88,35.44,87.06,160.22,120.67,113.44,83.61,45.65,58.94,177.5,141.56,127.67,126.24,151.07,105.83,50.82,275.82,24.25,30.5,37.06,54.18
03/072024,Karnataka,59.58,43.52,47.26,95.3,170.35,142.26,127.1,107.77,42.81,51.13,178.57,163.53,120.1,136.52,120.97,97.17,52.23,286.57,19.93,39.37,40.83,57.1
03/072024,Kerala,50.31,44.85,45.69,105.08,190.75,151.33,137,114.38,44.36,54.21,220.17,162.63,145.36,129,118.5,99.5,62.79,233.29,15.08,50.79,43.86,65.93
03/072024,Madhya Pradesh,41.18,29.38,34.56,85.73,167.09,120.58,116.4,91.87,43.56,57.4,191.49,137.09,121,113.49,138.11,111.95,48.6,254,19.4,33.17,38.46,55.39
03/072024,Maharashtra,53.37,39.11,43.21,92.79,178.16,135.89,126.58,96.16,43.26,60,184.16,160.22,129.53,112.26,122.84,102.94,55.42,303.11,23.74,43.21,40.32,64.21
03/072024,Meghalaya,45.88,38.13,36.38,94.5,160.4,133.2,121.38,90,49.38,74.13,,129.38,140.5,122.5,190.5,175,73.2,350.63,22.25,36.75,49.5,75.63
03/072024,Mizoram,48,42.3,46,107.33,151,125.29,127.78,100.27,51,77.82,159.5,185.55,170.8,126.91,190.25,130.83,122.75,478.56,29.18,43.45,57.09,81.36
03/072024,Nagaland,41.75,42.88,48,102.92,131.92,131.25,121.67,97.69,50.06,73.29,200,138.88,166,149.88,195,142.5,84,322,17.88,33.69,59.38,78.44
03/072024,Odisha,38.17,36.94,40.59,83.91,163.83,122.48,112.65,82.61,44.74,52.77,170.4,143,114.82,127.13,116.3,95.04,50.74,269.47,26.22,31.96,39.96,58.26
03/072024,Puducherry,65,45,40,93,182,140,125,92,46,48,203,146,142,,110,101,48,298,26,57,48,47
03/072024,Punjab,39.87,25.33,31.2,91.67,161.53,127.6,117.73,99.27,44.67,61.07,202.77,128.8,122.8,116.6,135.46,102.27,53.87,281.93,26.27,30.93,45.87,40.8
03/072024,Rajasthan,41.25,29.41,32.88,76.57,127.42,112.26,103.94,89.9,42.61,52.86,183,147.04,122.96,136.35,157,108.75,44.68,300.03,20.7,26.61,35.74,39.4
03/072024,Sikkim,53.6,35.2,38.4,86,145,126.6,125,100,49,63.4,,167.8,128.4,138.75,175.75,,60.2,404.6,18.6,36.6,56,71.2
03/072024,Tamil Nadu,62.03,46.1,54.79,94.48,182.39,145.82,125,94.21,43.94,47.45,205.52,174.23,126.24,,114.12,94.24,56.36,314.48,24.42,49.36,46.33,48.18
03/072024,Telangana,54.11,42.3,44.8,80.33,166.1,129.3,118.7,92.1,41.5,64.5,162,164.6,122,149.5,115.2,97.1,55,302.1,19.8,35.5,45.6,58.1
03/072024,Tripura,38.25,,38.75,88,154,128,113,104.25,48.75,71.25,,133.75,122.67,116,139.75,100,69.75,221.5,10,34.25,46.75,65.25
03/072024,Uttar Pradesh,39.28,26.53,32.77,85.08,162.34,122.62,115.72,94,43.95,62.99,190.62,140.72,127.58,129.19,151.63,110.48,50.41,238.81,26.69,30.54,41.46,50
03/072024,Uttarakhand,37.5,26.5,34.5,90.75,160.5,123.25,123.25,105.5,42.75,61.25,155,139,130.75,131.75,147.75,116.5,56.75,263.75,28,35,46,43.75
03/072024,West Bengal,44.64,30.44,38.18,84.27,155.95,123.76,131.27,108.41,45.95,55.36,196.64,132.95,114.95,114.45,128.68,100.85,52.95,271.32,22.38,30.55,41.18,62.14
04/07/2024,Andaman and Nicobar,49,,68,95.67,175,155.67,138.33,100.67,55,73,232.5,172.33,165,,129.33,114.33,79,308.33,21,61.67,60.67,117.33
04/07/2024,Andhra Pradesh,61,43.5,44.5,90,181,137.75,125.75,97.5,43.25,59,166,162,110.25,131,110.25,90.25,60.5,346.75,22.5,37,42,52
04/07/2024,Arunachal pradesh,46,45,44.25,101.75,164,128,122.5,105,53.33,76,143.5,157.67,167.33,139.33,181,,75,298.5,18.33,38.33,46.67,78.67
04/07/2024,Assam,42.58,33.08,36.58,90.35,163.58,114.68,116.65,93.15,47.65,72.04,214.8,150.31,136.1,136.92,146.1,113.94,59.96,254.96,13.58,32.77,43.65,64.08
04/07/2024,Bihar,38.37,27.2,33.06,82.63,153.97,121.54,114.71,80.37,44.51,55.94,182.81,135.51,123.71,125.76,158.07,102.41,47.66,279.49,23.54,27.03,36.14,46.03
04/07/2024,Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,30,40,43
04/07/2024,Chhattisgarh,43.13,38.63,40,88.13,164.63,117,114.25,94.25,43.75,57,201.25,156.75,125.38,124.63,130.13,109.75,48.88,302.63,23,35,42.88,51
04/07/2024,Delhi,40,29,32,97,178,143,128,90,44,56,207,148,129,128,139,104,58,245,26,37,50,50
04/07/2024,DNH and DD,49.33,41.33,47,95,175.67,150.67,133.67,96.67,43.67,65.67,193,153,134.67,136.33,128,107.33,63.67,350,27.33,36.67,42,70
04/07/2024,Goa,52.5,49.5,46.5,95,183.5,152.5,132.5,97.5,44,57.5,220,160,143,150,117.5,98,60.5,329,24.5,47,47,65
04/07/2024,Gujarat,43.25,38.13,40.13,88.13,171.25,129.25,117,94.5,43,61.38,178.88,143.38,126.75,126.63,125.25,102.88,55.38,252.13,16.25,35.63,40.63,61
04/07/2024,Haryana,39.5,29.5,32.5,78.5,143.5,108,108,86.5,45.5,60.75,180,138.75,120.5,118.5,140,95,49.25,225,24.75,32.5,48.25,43
04/07/2024,Himachal Pradesh,41.08,22,33.42,91.67,172.08,135.17,117.17,90.75,47.08,52.75,217.25,167,139.17,130.4,140.5,115.5,49.58,271.42,27.67,34.58,47.33,45.17
04/07/2024,Jammu and Kashmir,45.71,32.5,37,97.14,152.86,125.29,121.86,99.29,50.57,50.71,,149.86,135.57,131.71,142.33,125.25,53.86,319,27.5,33.71,46,48.71
04/07/2024,Jharkhand,40.11,31.88,35.5,86.72,159.89,120.89,113.44,83.39,45.69,59,177.5,142.82,125.71,126.69,151.07,106.71,51,279.06,24.25,30.67,38.39,54.47
04/07/2024,Karnataka,59.56,43.5,47.59,94.94,170.38,141.88,127.06,107.56,42.94,51.56,179.97,162.39,120.74,135.93,121.16,97.26,52.71,288.35,20.41,39.59,41.38,57.03
04/07/2024,Kerala,50,44.92,45.92,104.17,190.91,150.36,136.82,114.67,44,54.08,222.8,164,145.54,129,118.08,99.36,62.23,232.92,14.92,50.31,43.38,63.92
04/07/2024,Madhya Pradesh,41.06,29.35,34.79,87.42,167.69,120.81,116.1,91.73,43.47,57.3,190.21,137.94,120.89,112.83,136.89,111.45,49.3,254.45,19.4,34.54,39.25,59.35
04/07/2024,Maharashtra,53.26,39.11,43.26,92.63,178.21,135.68,126.47,96.05,43.16,60.05,184.16,160.28,129.47,112.42,122.79,103.06,55.42,303.63,23.74,43.74,39.89,64.84
04/07/2024,Manipur,55,45,42,95,180,135,140,92,55,,,150,145,145,,140,85,220,25,40,50,40
04/07/2024,Meghalaya,46.3,38.5,36.7,95.83,166.14,134.5,121.7,90,49.4,73.7,,135.3,139.75,125.2,171,101.5,73.83,373.9,21.2,37.6,51.2,84.5
04/07/2024,Mizoram,47.8,43.11,44.44,107.33,151,125.29,127.78,100.1,50.9,77.6,159.5,186.1,170.8,126.6,190.25,130.83,115.29,473.38,29.1,41.8,51.3,83.2
04/07/2024,Nagaland,41.75,42.88,48,102.92,131.92,131.25,121.67,98,50.38,73.29,200,138.88,166,150.5,195,142.5,84,321.67,17.94,34.63,57.5,79.69
04/07/2024,Odisha,39,37.11,40.13,84.17,164.79,122.88,112.42,82.38,44.83,52.52,170.83,142.88,114.83,126,116.29,94.83,51.08,278.55,26.17,31.92,40.04,57.67
04/07/2024,Puducherry,65,45,40,93,182,140,125,92,46,48,203,146,142,,110,101,48,298,26,51,48,43
04/07/2024,Punjab,40.43,25.43,31.21,91.79,164.14,127.43,116.79,97.79,44.86,60.57,201.83,130,122.14,116.14,134.83,101.5,53.21,281.21,26.71,29.57,43.14,42.86
04/07/2024,Rajasthan,40.7,29.37,33.1,77.27,130.93,113.8,104.43,89.9,42.63,52.26,183.89,147.46,122.89,135.3,155.13,118,44.33,301.25,20.37,28,36.52,42.24
04/07/2024,Sikkim,53.6,35.2,38.4,86,145,126.6,125,100,49,63.4,,167.8,128.4,138.75,175.75,,60.2,404.6,18.6,36.6,57,71.2
04/07/2024,Tamil Nadu,61.53,46.17,55.19,94.31,182.22,144.78,124.72,94.29,43.91,47.16,205.56,173.93,126.56,,114.28,94.13,56.19,320.64,24.31,48.31,45.72,45.91
04/07/2024,Telangana,54.2,42.3,44.7,80.22,166,129.3,118.7,92.1,41.6,64.5,161.7,164.6,122,149.5,114.9,96.9,55.1,302,19.9,35.5,43.5,54
04/07/2024,Tripura,38,,38.75,88,154,128,113,104.25,48.75,71.5,,134.5,122.67,116,139.75,100,69.75,221.5,10.25,34.25,46.75,65.25
04/07/2024,Uttar Pradesh,39.27,26.66,32.8,84.96,162.15,122.73,115.43,94.37,43.87,63.08,190.58,141.16,127.43,129.44,151.86,110.26,50.45,239.56,26.75,31.16,42.37,54.36
04/07/2024,Uttarakhand,37.5,26.5,34.5,90.75,160.5,123.25,123.25,105.5,42.75,61.25,155,139,130.75,131.75,147.75,116.5,56.75,263.75,28,35,45.5,48.25
04/07/2024,West Bengal,44.68,30.78,38.32,84.41,156.18,123.81,131.27,108.73,46.14,55.52,196.64,133.45,115,114.68,128.68,100.65,52.67,272.81,22.15,31.45,41.77,65.64
05/07/2024,Andaman and Nicobar,49.67,,68,97.33,176.33,156.67,138.33,100.67,55.33,73,232.5,173,165,,129.33,115.33,79.33,308.33,21,61.67,60.67,115.67
05/07/2024,Andhra Pradesh,60.4,44.4,47.6,88,178.2,139.4,126.8,102,42.6,60.4,166,165.2,108.4,146,111.6,90.6,59.6,317.8,22.2,36.6,40.4,44.2
05/07/2024,Arunachal pradesh,44.67,,44,99,165,126.67,123.33,100,53.33,76,143.5,157.67,165.67,139.33,181,,77.5,298.5,18.33,37.67,46.67,80
05/07/2024,Assam,43.04,32.93,36.43,89.82,163.85,115.71,116.25,92.71,47.39,71.69,213.17,150.07,135.43,136.96,146.41,113.39,59.57,252.93,13.46,32.54,44.29,63.62
05/07/2024,Bihar,38.12,27.38,33.12,82.06,154.15,122.3,114.48,80.52,44.53,56.41,182.63,136.06,124.47,126.03,158.85,102.35,47.85,273.88,23.35,28.03,37.21,49.06
05/07/2024,Chandigarh,40,32,35,95,178,130,125,98,44,62,190,148,120,129,135,105,55,260,28,30,40,40
05/07/2024,Chhattisgarh,42.44,37.78,39.44,87,165.22,115.78,113.33,91.89,43.56,59.33,201,151.88,122.22,124.22,134.33,110.38,48.78,291.22,23.44,35.67,42.67,49.56
05/07/2024,Delhi,40,29,32,97,178,143,128,90,44,56,207,148,129,128,139,104,58,245,26,40,53,55
05/07/2024,DNH and DD,49.67,41.33,47.33,95,175.67,150.67,133.67,96.67,43.67,65.67,193,153.33,134.67,136.33,128,107.67,63.67,350,27.33,37.67,42.67,70.67
05/07/2024,Goa,52.5,49.5,46.5,95,183.5,152.5,132.5,98,44,57.5,220,160,143,150,117.5,97.5,60.5,329,24.5,48.5,48,65
05/07/2024,Gujarat,39.2,37.5,39.33,86.17,171.17,129,119.33,95,42.67,62.67,177,142.5,119.83,122.5,121.67,99.67,53,257.17,14.83,34.83,43.67,62.17
05/07/2024,Haryana,39.5,29.5,32.5,78.5,158,108,108,86.5,46.5,60.75,180,130,117.33,112.33,132.67,93.33,50.5,228.25,24.75,32.75,49.25,52
05/07/2024,Himachal Pradesh,41,22,33.58,92,172.58,135.33,116.83,90.83,46.92,52.75,218.75,167,139.33,130.4,140.5,115.5,49.5,271.42,27.67,34.58,47.92,46.83
05/07/2024,Jammu and Kashmir,47.33,31,37.33,97.83,164.4,126.83,122.17,99.33,50.67,51.17,,150.67,135.33,131.5,141.8,120.33,54.5,309.83,27.4,34.67,47.5,49.5
05/07/2024,Jharkhand,39.89,31.82,35.5,86.83,159.78,120.83,113.44,83.39,45.75,59,177.5,142.17,124.78,126.41,151,105.94,51.13,278.88,24.19,30.88,38.59,55
05/07/2024,Karnataka,59.71,43.32,47.97,95.13,172.16,142.1,126.9,107.35,43,51.81,180.13,163.45,121.58,136.57,121.9,97.74,52.77,283.77,20.4,39.71,41,54.39
05/07/2024,Kerala,50.42,44.83,45.75,105,191,151.36,136.73,116.5,44.15,54.38,220.17,162.63,142.85,129,118.38,100.45,62.38,230.15,15,50.69,43.77,65
