DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil,Mustard Oil (Packed),Vanaspati,Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Potato_Lag_7,Potato_Lag_30,Potato_Rolling_Avg_7,Onion_Lag_7,Onion_Rolling_Avg_7
2024-06-02,Telangana,50.0,38.67,50.0,81.67,162.67,132.0,115.67,93.33,40.67,60.0,158.33,156.0,107.0,105.0,112.0,97.67,55.67,294.67,19.5,21.67,24.33,29.0,30.0,36.0,32.291428571428575,40.0,37.37142857142857
2024-06-02,Uttar Pradesh,38.67,25.8,32.07,82.33,154.64,120.07,113.51,93.89,43.76,62.07,189.33,137.33,127.29,130.09,153.06,111.27,48.62,233.85,26.6,24.27,28.09,27.78,50.0,44.46,28.615714285714287,65.0,32.098571428571425
2024-06-02,Uttarakhand,34.0,24.0,35.0,80.0,160.0,112.0,120.0,110.0,42.0,50.0,150.0,127.0,120.0,125.0,165.0,111.27,50.0,280.0,28.0,20.0,30.0,20.0,27.8,30.0,27.50142857142857,28.2,32.355714285714285
2024-06-02,West Bengal,42.77,28.83,38.0,81.46,152.46,121.17,125.62,106.23,45.54,56.0,197.57,130.31,108.77,111.46,128.08,100.85,52.69,261.0,21.69,28.31,29.77,35.23,25.0,33.75,27.974285714285713,27.55,32.67285714285714
2024-06-03,Andaman and Nicobar,48.33,28.83,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,111.46,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67,20.57,23.48,33.36857142857143,30.57,35.924285714285716
2024-06-03,Andhra Pradesh,60.2,44.4,47.4,87.4,173.0,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143.0,110.4,91.2,59.0,312.0,21.8,33.8,29.8,33.0,35.0,23.5,33.19714285714286,50.0,33.03857142857142
2024-06-03,Arunachal pradesh,46.0,45.0,44.75,99.25,152.0,133.5,123.5,103.5,53.33,75.0,143.5,152.67,152.33,135.33,177.0,130.0,75.0,305.0,19.33,32.0,40.0,50.0,46.0,28.19,31.197142857142858,35.95,33.61714285714286
2024-06-03,Assam,42.63,32.25,36.11,87.37,156.59,115.26,115.67,91.56,47.15,71.8,208.14,149.04,134.86,136.52,146.65,112.67,58.77,252.12,13.42,29.37,34.89,35.76,21.67,34.25,32.29714285714285,24.33,35.12571428571429
2024-06-03,Bihar,37.91,26.94,33.24,80.3,152.48,120.76,113.61,79.82,44.24,56.12,175.07,133.24,120.91,125.36,158.63,104.44,47.18,275.06,23.3,22.18,29.82,30.36,24.27,31.0,31.99857142857143,28.09,35.37285714285714
2024-06-03,Chandigarh,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0,20.0,30.12,31.99857142857143,30.0,35.801428571428566
2024-06-03,Chhattisgarh,41.14,38.57,40.29,93.71,166.71,115.29,114.86,97.14,43.43,55.86,201.14,151.14,130.86,133.0,147.0,117.14,47.14,262.57,22.71,27.71,32.57,27.57,28.31,22.56,31.912857142857142,29.77,36.20142857142857
2024-06-03,Delhi,40.0,29.0,31.0,88.0,173.0,142.0,123.0,90.0,44.0,56.0,207.0,148.0,130.0,128.0,139.0,104.0,58.0,243.0,26.0,28.0,32.0,28.0,58.33,20.0,27.580000000000002,53.33,33.15428571428571
2024-06-03,DNH and DD,50.0,41.0,47.33,88.67,173.67,144.0,131.33,94.67,43.33,65.0,194.0,147.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.67,29.0,32.67,33.8,29.2,27.41857142857143,29.8,33.040000000000006
2024-06-03,Goa,53.0,50.0,51.0,90.0,170.0,148.0,125.0,98.0,44.0,59.0,223.0,140.0,137.0,123.0,120.0,98.0,60.0,343.0,24.0,38.0,33.0,38.0,32.0,28.0,28.275714285714287,40.0,32.040000000000006
2024-06-03,Gujarat,43.29,36.14,39.29,85.71,158.43,125.13,118.14,92.5,42.5,60.75,179.29,139.75,128.88,128.5,123.0,105.25,50.71,252.5,16.25,28.13,29.0,32.13,29.37,32.67,28.09857142857143,34.89,31.198571428571427
2024-06-03,Haryana,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60.0,177.25,137.0,128.0,128.25,154.25,106.0,48.5,231.25,25.5,19.5,35.25,26.75,22.18,30.0,27.715714285714284,29.82,31.974285714285713
2024-06-03,Himachal Pradesh,40.67,22.0,33.08,85.58,164.08,134.08,116.25,88.25,47.0,52.0,219.5,160.75,137.58,129.7,143.5,118.0,48.25,269.58,27.5,30.42,34.92,30.42,20.0,16.0,29.204285714285714,33.0,32.24857142857143
2024-06-03,Jammu and Kashmir,46.83,32.8,39.0,96.17,151.17,128.33,125.0,103.17,51.0,50.67,219.5,146.67,135.83,130.83,144.0,121.33,55.17,310.0,26.83,29.5,34.83,33.0,27.71,30.5,29.460000000000004,32.57,32.57142857142857
2024-06-03,Jharkhand,39.37,31.39,34.84,80.95,156.0,119.63,111.63,82.37,45.61,58.94,178.92,138.05,123.89,126.0,151.0,103.59,48.94,288.88,24.28,25.74,28.84,29.32,28.0,35.0,29.13714285714286,32.0,32.12
2024-06-03,Karnataka,60.4,43.7,47.2,92.9,166.27,142.0,127.3,106.2,43.07,50.47,180.0,164.73,119.17,137.14,119.67,97.57,52.47,285.73,20.47,37.03,32.8,35.73,32.67,24.82,29.759999999999998,29.0,32.66285714285714
2024-06-03,Kerala,50.77,44.69,46.17,101.85,184.54,151.17,139.0,114.08,44.42,53.83,224.0,173.0,142.58,130.0,118.25,102.27,64.0,232.82,14.73,48.75,35.58,57.83,38.0,35.4,31.295714285714286,33.0,33.03142857142857
2024-06-03,Madhya Pradesh,40.92,28.81,34.23,85.17,163.29,119.83,115.29,91.02,43.34,57.4,189.29,134.79,120.35,112.25,136.72,110.3,47.19,252.19,19.84,25.53,25.87,27.19,28.13,25.8,30.924285714285713,29.0,32.58428571428571
2024-06-03,Maharashtra,51.37,38.37,42.58,89.16,173.84,134.63,127.84,97.26,42.84,59.47,182.05,157.89,127.63,110.79,120.37,102.19,54.53,298.53,23.32,36.58,29.0,35.37,19.5,36.53,33.364285714285714,35.25,31.691428571428567
2024-06-03,Manipur,50.0,42.0,37.0,100.0,180.0,145.0,135.0,90.0,55.0,59.47,100.0,140.0,130.0,130.0,125.0,130.0,85.0,240.0,25.0,36.0,45.0,35.0,30.42,30.0,34.16142857142857,34.92,33.13142857142857
2024-06-03,Meghalaya,38.1,38.33,37.1,90.83,164.0,134.5,121.0,89.8,49.5,73.8,100.0,133.1,138.0,125.2,172.0,126.0,74.17,370.9,21.3,32.5,39.6,40.9,29.5,50.0,34.589999999999996,34.83,33.81285714285715
2024-06-03,Mizoram,48.0,42.22,45.44,109.63,149.67,124.5,127.5,99.5,50.3,77.8,150.0,185.4,175.0,128.1,198.5,128.4,122.71,475.0,29.1,40.1,54.4,75.8,25.74,27.8,36.64142857142857,28.84,37.464285714285715
2024-06-03,Nagaland,41.75,42.88,48.0,100.83,130.25,133.13,121.67,97.38,50.38,73.29,200.0,139.19,166.0,150.19,195.0,142.5,84.0,322.67,17.88,33.38,50.31,49.06,37.03,25.0,36.12,32.8,39.965714285714284
2024-06-03,Odisha,38.73,37.0,39.81,83.64,162.05,123.82,113.5,82.68,45.1,52.86,161.6,137.32,111.86,125.14,114.45,95.77,50.95,276.31,25.95,27.18,31.23,38.18,48.75,20.57,33.03857142857143,35.58,39.34428571428572
2024-06-03,Punjab,39.73,25.0,31.07,90.67,155.93,127.2,116.87,100.2,44.6,59.6,201.08,127.6,121.93,119.67,134.23,102.36,54.07,270.0,26.53,24.2,28.2,23.6,25.53,35.0,32.848571428571425,25.87,39.67714285714286
2024-06-03,Rajasthan,40.24,29.17,32.62,75.21,128.21,110.21,103.03,88.83,42.62,51.56,183.5,147.5,123.44,135.15,158.22,121.67,44.34,295.76,20.69,24.55,33.62,33.55,36.58,46.0,31.13,29.0,40.33714285714286
2024-06-03,Sikkim,54.2,35.2,38.4,85.0,133.0,126.6,124.0,101.0,49.0,63.4,183.5,166.6,127.2,137.5,170.2,121.67,59.2,410.0,18.6,36.0,47.0,42.0,36.0,21.67,31.13,45.0,40.62285714285714
2024-06-03,Tamil Nadu,61.82,45.06,54.24,91.91,178.97,143.79,125.29,94.26,44.24,47.26,202.47,174.94,125.85,137.5,113.21,93.41,55.94,309.96,24.38,45.29,36.21,40.82,32.5,24.27,32.957142857142856,39.6,40.138571428571424
2024-06-03,Telangana,54.1,42.8,45.9,80.22,164.1,129.1,118.9,92.3,41.4,66.2,162.4,165.8,121.2,150.67,115.9,97.8,56.5,302.0,20.67,30.1,26.2,31.1,40.1,20.0,31.52857142857143,54.4,36.11
2024-06-03,Tripura,38.25,42.8,39.0,87.0,144.33,128.0,111.25,103.75,48.0,70.25,162.4,131.75,122.67,116.0,139.75,100.25,69.25,221.5,10.0,33.75,34.25,38.75,33.38,28.31,31.58142857142857,50.31,33.815714285714286
2024-06-03,Uttar Pradesh,38.49,26.03,32.18,81.11,152.59,118.59,113.31,93.36,43.61,62.48,188.59,138.7,127.58,130.5,152.51,110.33,48.23,238.95,26.62,23.85,28.14,27.55,27.18,58.33,31.10571428571429,31.23,33.37428571428571
2024-06-03,Uttarakhand,37.25,27.0,34.5,89.5,144.75,114.25,113.25,99.75,41.75,58.0,154.75,138.75,130.75,131.0,147.0,116.5,54.5,263.5,28.0,26.25,26.5,23.75,24.2,33.8,31.398571428571433,28.2,33.13142857142857
2024-06-03,West Bengal,44.1,30.0,37.81,84.43,154.81,124.5,129.48,105.86,46.1,55.05,200.9,131.76,112.05,112.81,127.05,99.75,52.19,272.9,22.1,28.57,30.62,36.48,24.55,32.0,31.972857142857144,33.62,32.70285714285714
2024-06-04,Andaman and Nicobar,48.33,30.0,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,112.81,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67,36.0,29.37,35.16285714285714,47.0,33.607142857142854
2024-06-04,Andhra Pradesh,52.5,45.0,47.5,92.0,179.0,138.5,125.0,88.5,44.0,61.0,166.0,162.0,110.5,112.81,107.0,91.5,58.0,288.5,20.0,36.0,31.5,40.5,45.29,22.18,33.83571428571429,36.21,32.934285714285714
2024-06-04,Arunachal pradesh,46.0,45.0,44.75,99.25,151.75,133.25,123.25,103.25,53.33,74.67,143.5,154.33,152.33,136.0,177.67,91.5,72.5,313.5,20.0,33.0,40.0,50.0,30.1,20.0,34.25,26.2,34.90571428571429
2024-06-04,Assam,41.74,33.11,35.83,85.52,157.26,113.11,115.39,92.43,47.23,72.24,220.0,147.82,132.47,133.55,146.56,111.71,59.77,242.23,13.55,29.27,34.86,37.75,33.75,27.71,33.61,34.25,34.99285714285714
2024-06-04,Bihar,37.68,26.68,32.32,80.68,152.58,120.89,115.16,80.16,44.53,56.42,170.8,134.37,120.26,125.63,156.2,105.82,47.37,259.84,23.74,21.53,29.95,27.47,23.85,28.0,33.278571428571425,28.14,35.251428571428576
2024-06-04,Chandigarh,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0,26.25,32.67,32.385714285714286,26.5,36.18
2024-06-04,Chhattisgarh,38.75,39.25,39.0,92.5,165.75,124.25,121.0,98.5,43.75,51.0,190.25,157.5,143.25,142.5,152.5,127.5,47.0,240.75,19.5,27.25,33.25,31.25,28.57,38.0,32.19714285714286,30.62,36.55571428571429
2024-06-04,Delhi,40.0,29.0,31.0,88.0,173.0,142.0,123.0,90.0,44.0,56.0,207.0,148.0,130.0,128.0,139.0,104.0,58.0,243.0,26.0,28.0,32.0,28.0,58.33,28.13,27.864285714285717,53.33,33.50857142857143
2024-06-04,DNH and DD,50.0,41.0,47.33,89.33,174.67,144.67,131.33,95.0,43.33,65.0,192.33,148.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.0,29.67,33.67,36.0,19.5,27.292857142857144,31.5,33.24714285714286
2024-06-04,Goa,53.0,50.0,51.0,90.0,170.0,148.0,125.0,98.0,44.0,59.0,223.0,140.0,137.0,123.0,120.0,98.0,60.0,343.0,24.0,38.0,33.0,42.0,33.0,30.42,28.00714285714286,40.0,32.24714285714286
2024-06-04,Gujarat,43.83,36.67,40.17,87.0,167.0,127.17,120.0,94.0,42.5,61.33,179.17,144.2,125.5,127.33,125.17,104.83,50.6,247.67,16.5,27.0,29.0,30.33,29.27,29.5,27.68285714285714,34.86,31.41
2024-06-04,Haryana,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60.0,177.25,137.0,128.0,128.25,154.25,106.0,48.5,231.25,25.5,19.5,35.25,26.75,21.53,25.74,27.392857142857142,29.95,32.167142857142856
2024-06-04,Himachal Pradesh,40.67,22.0,33.08,85.58,164.08,134.08,116.25,88.25,47.08,52.0,219.5,160.75,137.58,129.7,143.5,118.0,48.5,269.58,27.5,30.25,35.0,30.08,20.0,37.03,28.857142857142858,33.0,32.45285714285715
2024-06-04,Jammu and Kashmir,48.0,30.0,38.4,92.0,158.0,129.4,124.6,101.6,51.8,51.6,219.5,147.0,134.6,128.0,144.0,121.33,57.0,306.0,26.6,30.2,35.2,32.6,27.25,48.75,29.27857142857143,33.25,32.73142857142857
2024-06-04,Jharkhand,39.5,31.47,35.38,81.13,154.19,120.56,112.31,83.19,45.67,59.21,168.64,139.19,125.56,127.53,152.75,104.67,49.13,282.21,24.2,25.5,29.0,29.38,28.0,25.53,28.92142857142857,32.0,32.30285714285714
