,DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
42,2024-06-02,13,38.0,34.0,45.5,95.0,149.0,130.0,127.5,102.5,50.0,47.0,189.75,146.0,134.5,130.0,160.5,140.0,56.5,333.5,28.0,35.0,38.5,41.0
43,2024-06-02,14,40.09,31.8,34.91,80.55,157.82,118.0,111.0,82.82,45.27,58.6,192.57,134.73,117.55,123.9,151.38,103.6,48.36,278.73,23.09,24.82,26.64,27.73
44,2024-06-02,15,59.68,43.52,47.23,93.74,165.77,140.42,126.58,104.9,43.2,50.6,182.4,162.37,119.2,135.45,117.67,97.37,53.37,289.17,20.27,35.4,30.73,34.93
45,2024-06-02,17,41.1,29.05,34.26,84.45,164.6,119.79,115.45,90.86,43.27,57.27,190.15,133.66,119.17,111.59,135.55,111.6,47.37,249.65,19.75,25.8,25.05,26.61
46,2024-06-02,18,51.32,38.42,42.63,88.63,173.42,134.42,128.0,97.11,42.68,59.47,182.11,157.67,127.63,110.63,120.26,102.19,54.47,298.79,23.26,36.53,28.74,34.68
47,2024-06-02,20,42.67,37.0,35.33,89.33,156.67,127.67,121.0,92.67,48.0,74.0,189.75,121.5,130.0,118.5,210.0,104.59,75.0,330.0,30.0,30.0,40.0,43.5
48,2024-06-02,21,50.0,37.5,52.5,98.0,163.0,129.1,120.0,102.5,50.0,77.5,189.75,185.0,220.0,140.0,139.0,104.59,132.5,520.0,27.5,50.0,65.0,63.5
49,2024-06-02,23,40.0,36.0,36.8,85.0,167.8,122.6,113.0,80.8,44.4,52.0,165.0,135.4,109.4,115.0,113.2,94.4,54.6,249.6,26.2,27.8,28.2,40.2
50,2024-06-02,25,38.82,25.45,31.18,92.82,162.09,129.64,118.82,100.45,44.18,60.73,198.55,128.09,122.18,120.27,131.82,101.33,54.0,270.64,26.18,25.0,27.55,21.91
51,2024-06-02,26,38.0,29.43,31.57,75.29,133.57,113.57,105.43,85.43,41.43,51.14,163.0,134.43,117.57,130.57,139.5,111.0,42.86,283.43,17.43,20.57,30.57,31.86
52,2024-06-02,27,60.0,36.0,36.0,80.0,135.0,135.0,130.0,110.0,50.0,60.0,189.75,187.0,167.0,129.4,210.0,104.59,66.0,343.0,17.0,35.0,50.0,45.0
53,2024-06-02,28,62.4,45.5,56.3,91.4,178.95,143.45,125.2,91.38,44.58,49.05,201.32,179.28,126.79,129.4,113.16,93.47,56.84,307.42,24.26,46.0,35.95,40.05
54,2024-06-02,29,50.0,38.67,50.0,81.67,162.67,132.0,115.67,93.33,40.67,60.0,158.33,156.0,107.0,105.0,112.0,97.67,55.67,294.67,19.5,21.67,24.33,29.0
55,2024-06-02,31,38.67,25.8,32.07,82.33,154.64,120.07,113.51,93.89,43.76,62.07,189.33,137.33,127.29,130.09,153.06,111.27,48.62,233.85,26.6,24.27,28.09,27.78
56,2024-06-02,32,34.0,24.0,35.0,80.0,160.0,112.0,120.0,110.0,42.0,50.0,150.0,127.0,120.0,125.0,165.0,104.59,50.0,280.0,28.0,20.0,30.0,20.0
57,2024-06-02,33,42.77,28.83,38.0,81.46,152.46,121.17,125.62,106.23,45.54,56.0,197.57,130.31,108.77,111.46,128.08,100.85,52.69,261.0,21.69,28.31,29.77,35.23
58,2024-06-03,0,48.33,36.89,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,129.4,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
59,2024-06-03,1,60.2,44.4,47.4,87.4,173.0,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143.0,110.4,91.2,59.0,312.0,21.8,33.8,29.8,33.0
60,2024-06-03,2,46.0,45.0,44.75,99.25,152.0,133.5,123.5,103.5,53.33,75.0,143.5,152.67,152.33,135.33,177.0,130.0,75.0,305.0,19.33,32.0,40.0,50.0
61,2024-06-03,3,42.63,32.25,36.11,87.37,156.59,115.26,115.67,91.56,47.15,71.8,208.14,149.04,134.86,136.52,146.65,112.67,58.77,252.12,13.42,29.37,34.89,35.76
62,2024-06-03,4,37.91,26.94,33.24,80.3,152.48,120.76,113.61,79.82,44.24,56.12,175.07,133.24,120.91,125.36,158.63,104.44,47.18,275.06,23.3,22.18,29.82,30.36
63,2024-06-03,5,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0
64,2024-06-03,6,41.14,38.57,40.29,93.71,166.71,115.29,114.86,97.14,43.43,55.86,201.14,151.14,130.86,133.0,147.0,117.14,47.14,262.57,22.71,27.71,32.57,27.57
65,2024-06-03,8,40.0,29.0,31.0,88.0,173.0,142.0,123.0,90.0,44.0,56.0,207.0,148.0,130.0,128.0,139.0,104.0,58.0,243.0,26.0,28.0,32.0,28.0
66,2024-06-03,7,50.0,41.0,47.33,88.67,173.67,144.0,131.33,94.67,43.33,65.0,194.0,147.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.67,29.0,32.67
67,2024-06-03,9,53.0,50.0,51.0,90.0,170.0,148.0,125.0,98.0,44.0,59.0,223.0,140.0,137.0,123.0,120.0,98.0,60.0,343.0,24.0,38.0,33.0,38.0
68,2024-06-03,10,43.29,36.14,39.29,85.71,158.43,125.13,118.14,92.5,42.5,60.75,179.29,139.75,128.88,128.5,123.0,105.25,50.71,252.5,16.25,28.13,29.0,32.13
69,2024-06-03,11,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60.0,177.25,137.0,128.0,128.25,154.25,106.0,48.5,231.25,25.5,19.5,35.25,26.75
70,2024-06-03,12,40.67,22.0,33.08,85.58,164.08,134.08,116.25,88.25,47.0,52.0,219.5,160.75,137.58,129.7,143.5,118.0,48.25,269.58,27.5,30.42,34.92,30.42
71,2024-06-03,13,46.83,32.8,39.0,96.17,151.17,128.33,125.0,103.17,51.0,50.67,189.75,146.67,135.83,130.83,144.0,121.33,55.17,310.0,26.83,29.5,34.83,33.0
72,2024-06-03,14,39.37,31.39,34.84,80.95,156.0,119.63,111.63,82.37,45.61,58.94,178.92,138.05,123.89,126.0,151.0,103.59,48.94,288.88,24.28,25.74,28.84,29.32
73,2024-06-03,15,60.4,43.7,47.2,92.9,166.27,142.0,127.3,106.2,43.07,50.47,180.0,164.73,119.17,137.14,119.67,97.57,52.47,285.73,20.47,37.03,32.8,35.73
74,2024-06-03,16,50.77,44.69,46.17,101.85,184.54,151.17,139.0,114.08,44.42,53.83,224.0,173.0,142.58,130.0,118.25,102.27,64.0,232.82,14.73,48.75,35.58,57.83
75,2024-06-03,17,40.92,28.81,34.23,85.17,163.29,119.83,115.29,91.02,43.34,57.4,189.29,134.79,120.35,112.25,136.72,110.3,47.19,252.19,19.84,25.53,25.87,27.19
76,2024-06-03,18,51.37,38.37,42.58,89.16,173.84,134.63,127.84,97.26,42.84,59.47,182.05,157.89,127.63,110.79,120.37,102.19,54.53,298.53,23.32,36.58,29.0,35.37
77,2024-06-03,19,50.0,42.0,37.0,100.0,180.0,145.0,135.0,90.0,55.0,59.95,100.0,140.0,130.0,130.0,125.0,130.0,85.0,240.0,25.0,36.0,45.0,35.0
78,2024-06-03,20,38.1,38.33,37.1,90.83,164.0,134.5,121.0,89.8,49.5,73.8,189.75,133.1,138.0,125.2,172.0,126.0,74.17,370.9,21.3,32.5,39.6,40.9
79,2024-06-03,21,48.0,42.22,45.44,109.63,149.67,124.5,127.5,99.5,50.3,77.8,150.0,185.4,175.0,128.1,198.5,128.4,122.71,475.0,29.1,40.1,54.4,75.8
80,2024-06-03,22,41.75,42.88,48.0,100.83,130.25,133.13,121.67,97.38,50.38,73.29,200.0,139.19,166.0,150.19,195.0,142.5,84.0,322.67,17.88,33.38,50.31,49.06
81,2024-06-03,23,38.73,37.0,39.81,83.64,162.05,123.82,113.5,82.68,45.1,52.86,161.6,137.32,111.86,125.14,114.45,95.77,50.95,276.31,25.95,27.18,31.23,38.18
82,2024-06-03,25,39.73,25.0,31.07,90.67,155.93,127.2,116.87,100.2,44.6,59.6,201.08,127.6,121.93,119.67,134.23,102.36,54.07,270.0,26.53,24.2,28.2,23.6
83,2024-06-03,26,40.24,29.17,32.62,75.21,128.21,110.21,103.03,88.83,42.62,51.56,183.5,147.5,123.44,135.15,158.22,121.67,44.34,295.76,20.69,24.55,33.62,33.55
84,2024-06-03,27,54.2,35.2,38.4,85.0,133.0,126.6,124.0,101.0,49.0,63.4,189.75,166.6,127.2,137.5,170.2,104.59,59.2,410.0,18.6,36.0,47.0,42.0
85,2024-06-03,28,61.82,45.06,54.24,91.91,178.97,143.79,125.29,94.26,44.24,47.26,202.47,174.94,125.85,129.4,113.21,93.41,55.94,309.96,24.38,45.29,36.21,40.82
86,2024-06-03,29,54.1,42.8,45.9,80.22,164.1,129.1,118.9,92.3,41.4,66.2,162.4,165.8,121.2,150.67,115.9,97.8,56.5,302.0,20.67,30.1,26.2,31.1
87,2024-06-03,30,38.25,36.89,39.0,87.0,144.33,128.0,111.25,103.75,48.0,70.25,189.75,131.75,122.67,116.0,139.75,100.25,69.25,221.5,10.0,33.75,34.25,38.75
88,2024-06-03,31,38.49,26.03,32.18,81.11,152.59,118.59,113.31,93.36,43.61,62.48,188.59,138.7,127.58,130.5,152.51,110.33,48.23,238.95,26.62,23.85,28.14,27.55
89,2024-06-03,32,37.25,27.0,34.5,89.5,144.75,114.25,113.25,99.75,41.75,58.0,154.75,138.75,130.75,131.0,147.0,116.5,54.5,263.5,28.0,26.25,26.5,23.75
90,2024-06-03,33,44.1,30.0,37.81,84.43,154.81,124.5,129.48,105.86,46.1,55.05,200.9,131.76,112.05,112.81,127.05,99.75,52.19,272.9,22.1,28.57,30.62,36.48
91,2024-06-04,0,48.33,36.89,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,129.4,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
92,2024-06-04,1,52.5,45.0,47.5,92.0,179.0,138.5,125.0,88.5,44.0,61.0,166.0,162.0,110.5,129.4,107.0,91.5,58.0,288.5,20.0,36.0,31.5,40.5
93,2024-06-04,2,46.0,45.0,44.75,99.25,151.75,133.25,123.25,103.25,53.33,74.67,143.5,154.33,152.33,136.0,177.67,104.59,72.5,313.5,20.0,33.0,40.0,50.0
94,2024-06-04,3,41.74,33.11,35.83,85.52,157.26,113.11,115.39,92.43,47.23,72.24,220.0,147.82,132.47,133.55,146.56,111.71,59.77,242.23,13.55,29.27,34.86,37.75
95,2024-06-04,4,37.68,26.68,32.32,80.68,152.58,120.89,115.16,80.16,44.53,56.42,170.8,134.37,120.26,125.63,156.2,105.82,47.37,259.84,23.74,21.53,29.95,27.47
96,2024-06-04,5,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0
97,2024-06-04,6,38.75,39.25,39.0,92.5,165.75,124.25,121.0,98.5,43.75,51.0,190.25,157.5,143.25,142.5,152.5,127.5,47.0,240.75,19.5,27.25,33.25,31.25
98,2024-06-04,8,40.0,29.0,31.0,88.0,173.0,142.0,123.0,90.0,44.0,56.0,207.0,148.0,130.0,128.0,139.0,104.0,58.0,243.0,26.0,28.0,32.0,28.0
99,2024-06-04,7,50.0,41.0,47.33,89.33,174.67,144.67,131.33,95.0,43.33,65.0,192.33,148.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.0,29.67,33.67
100,2024-06-04,9,53.0,50.0,51.0,90.0,170.0,148.0,125.0,98.0,44.0,59.0,223.0,140.0,137.0,123.0,120.0,98.0,60.0,343.0,24.0,38.0,33.0,42.0
101,2024-06-04,10,43.83,36.67,40.17,87.0,167.0,127.17,120.0,94.0,42.5,61.33,179.17,144.2,125.5,127.33,125.17,104.83,50.6,247.67,16.5,27.0,29.0,30.33
102,2024-06-04,11,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60.0,177.25,137.0,128.0,128.25,154.25,106.0,48.5,231.25,25.5,19.5,35.25,26.75
103,2024-06-04,12,40.67,22.0,33.08,85.58,164.08,134.08,116.25,88.25,47.08,52.0,219.5,160.75,137.58,129.7,143.5,118.0,48.5,269.58,27.5,30.25,35.0,30.08
104,2024-06-04,13,48.0,30.0,38.4,92.0,158.0,129.4,124.6,101.6,51.8,51.6,189.75,147.0,134.6,128.0,144.0,121.33,57.0,306.0,26.6,30.2,35.2,32.6
105,2024-06-04,14,39.5,31.47,35.38,81.13,154.19,120.56,112.31,83.19,45.67,59.21,168.64,139.19,125.56,127.53,152.75,104.67,49.13,282.21,24.2,25.5,29.0,29.38
106,2024-06-04,15,59.83,44.0,47.53,92.1,165.67,141.23,126.63,107.1,43.1,50.6,181.37,163.83,120.43,135.31,118.73,98.4,53.13,291.63,20.8,35.5,31.9,35.5
107,2024-06-04,16,50.42,44.5,45.73,102.42,183.25,152.27,136.64,114.08,44.38,54.38,225.86,176.3,143.92,130.0,117.85,100.82,62.69,232.33,14.92,48.08,35.77,57.38
108,2024-06-04,17,40.71,28.59,34.26,83.82,166.0,120.09,115.12,91.09,43.33,57.12,190.88,135.42,120.55,112.82,139.25,114.25,47.36,245.3,19.48,25.53,25.35,26.56
109,2024-06-04,18,51.37,38.42,42.58,89.26,174.11,134.68,127.84,97.26,42.74,59.47,182.11,157.94,127.74,111.05,120.47,102.25,54.42,298.89,23.32,36.68,29.11,35.47
110,2024-06-04,20,38.71,37.5,36.43,89.5,158.0,134.0,121.43,89.71,49.29,74.14,189.75,127.57,132.33,121.71,190.5,104.59,73.2,349.29,23.29,32.57,39.86,42.71
111,2024-06-04,21,48.18,42.0,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78.0,159.5,185.55,170.8,128.64,183.67,130.83,119.63,479.67,29.18,40.18,53.36,75.91
112,2024-06-04,22,41.75,42.88,48.0,100.83,130.25,133.13,121.67,97.38,50.38,73.29,200.0,139.19,166.0,150.19,195.0,142.5,84.0,322.67,17.88,33.69,50.63,49.38
113,2024-06-04,23,37.89,38.0,40.12,83.56,161.28,125.67,113.61,83.56,44.83,52.65,172.5,139.39,112.65,125.6,116.22,96.11,50.17,263.92,26.44,27.0,33.17,38.11
114,2024-06-04,25,39.8,25.07,31.07,89.93,155.6,126.73,116.73,99.8,44.67,59.4,199.25,126.93,121.86,119.29,135.17,103.0,53.53,268.2,26.47,24.33,28.27,23.27
115,2024-06-04,26,39.65,29.55,32.45,77.9,134.1,112.85,104.9,88.3,42.75,51.5,186.26,146.21,122.83,126.61,152.65,110.33,45.0,280.15,19.65,24.26,32.32,32.68
116,2024-06-04,27,54.2,35.2,38.4,85.0,133.0,126.6,124.0,101.0,49.0,63.4,189.75,166.6,127.2,137.5,170.2,104.59,59.2,410.0,18.6,36.4,47.0,42.0
117,2024-06-04,28,60.96,45.5,53.79,92.21,178.72,143.52,124.66,94.12,44.21,46.17,204.07,172.56,127.69,129.4,113.03,92.69,55.52,300.43,24.17,44.83,36.1,42.03
118,2024-06-04,29,51.0,40.86,45.86,78.57,159.57,127.57,117.43,90.0,40.14,65.0,162.14,163.29,117.57,142.67,113.57,98.14,56.0,295.57,19.5,26.14,26.71,30.14
119,2024-06-04,30,37.0,36.89,38.67,87.0,144.33,128.0,113.33,102.67,49.0,71.0,189.75,129.33,122.67,117.0,142.67,98.67,67.33,207.0,10.0,33.33,34.0,37.0
120,2024-06-04,31,38.38,26.13,32.32,81.7,153.52,119.1,113.33,93.45,43.6,62.78,188.28,138.96,127.86,130.88,152.62,111.13,48.49,240.53,26.64,24.18,28.18,27.25
121,2024-06-04,32,37.0,27.0,34.25,88.5,143.75,113.75,112.75,99.0,41.75,58.5,154.25,138.5,130.5,132.0,146.75,116.5,54.5,263.5,28.0,26.25,26.5,22.75
122,2024-06-04,33,43.89,30.11,37.58,83.42,154.11,124.61,125.58,105.42,45.95,54.95,200.8,131.32,111.37,113.53,127.84,99.41,52.95,267.84,22.42,28.32,31.16,35.58
123,2024-06-05,0,48.33,36.89,67.67,95.0,171.0,154.33,136.0,100.67,54.33,73.0,232.5,173.0,178.33,129.4,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
124,2024-06-05,1,60.2,44.4,47.4,87.4,173.0,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143.0,110.4,91.2,59.0,312.0,21.8,33.0,29.0,34.0
125,2024-06-05,2,46.0,45.0,44.75,99.25,151.75,133.25,123.25,103.25,53.33,75.33,143.5,154.33,152.33,136.0,177.67,104.59,76.5,301.0,19.33,31.67,40.0,50.0
126,2024-06-05,3,41.76,32.33,35.8,88.36,159.68,114.76,115.96,91.92,47.16,71.5,211.17,149.72,135.16,136.24,147.36,114.06,58.68,252.88,13.64,29.64,34.2,37.08
127,2024-06-05,4,38.22,27.03,33.03,81.0,153.0,121.44,114.41,80.25,44.13,55.66,186.71,134.16,122.53,126.03,160.16,104.35,47.25,278.97,23.06,21.72,30.0,29.72
128,2024-06-05,5,42.0,32.0,36.0,80.0,135.0,115.0,113.0,94.0,45.0,59.0,190.0,150.0,128.0,130.0,145.0,105.0,51.0,276.0,27.0,20.0,33.0,40.0
129,2024-06-05,6,41.14,38.57,40.29,93.71,166.29,115.29,114.86,97.14,43.29,55.71,201.0,151.14,130.86,133.0,147.0,117.14,47.14,262.43,22.57,27.86,32.71,28.43
130,2024-06-05,8,40.0,29.0,31.0,90.0,173.0,143.0,123.0,90.0,44.0,56.0,207.0,148.0,130.0,128.0,139.0,104.0,58.0,243.0,26.0,30.0,32.0,28.0
131,2024-06-05,7,50.0,41.0,47.33,90.0,174.67,144.67,131.33,95.0,43.33,65.0,192.0,148.0,134.0,134.67,127.0,107.67,63.67,350.0,27.33,32.0,30.0,36.0
132,2024-06-05,9,52.5,48.0,45.5,92.5,173.5,150.0,131.5,98.0,44.0,57.5,220.5,157.5,140.0,148.0,115.0,98.5,59.0,329.0,24.5,38.0,35.5,44.0
133,2024-06-05,10,43.71,36.71,40.14,86.86,170.0,125.63,118.29,92.88,42.63,61.25,178.14,144.13,128.63,129.0,124.75,104.13,51.17,251.5,16.13,29.25,30.38,32.63
134,2024-06-05,11,43.75,29.75,34.75,78.0,129.25,108.0,108.25,96.25,43.75,60.0,177.75,137.75,127.5,127.25,153.75,106.25,48.75,231.25,25.5,19.5,35.25,26.0
135,2024-06-05,12,40.75,22.0,33.17,85.58,164.17,134.17,116.33,88.25,47.25,52.08,219.5,160.67,137.5,129.1,143.5,118.0,48.58,269.58,27.5,30.25,34.67,29.75
136,2024-06-05,13,48.0,30.0,37.4,91.4,157.4,130.0,124.6,101.2,51.8,51.6,189.75,148.4,134.4,128.0,144.5,121.33,56.0,304.6,26.6,29.8,34.8,32.6
