DATE,States/UTs,Commodity,Price
2024-06-06,Madhya Pradesh,Rice,40.9
2024-06-06,Maharashtra,Rice,51.68
2024-06-06,Manipur,Rice,50.0
2024-06-06,Meghalaya,Rice,38.0
2024-06-06,Mizoram,Rice,48.18
2024-06-06,Nagaland,Rice,41.75
2024-06-06,Odisha,Rice,37.5
2024-06-06,Puducherry,Rice,64.0
2024-06-06,Punjab,Rice,39.73
2024-06-06,Rajasthan,Rice,40.63
2024-06-06,Sikkim,Rice,54.2
2024-06-06,Tamil Nadu,Rice,61.67
2024-06-06,Telangana,Rice,54.0
2024-06-06,Tripura,Rice,38.25
2024-06-06,Uttar Pradesh,Rice,38.61
2024-06-06,Uttarakhand,Rice,37.75
2024-06-06,West Bengal,Rice,44.41
2024-06-07,Andaman and Nicobar,Rice,48.0
2024-06-07,Andhra Pradesh,Rice,60.2
2024-06-07,Arunachal pradesh,Rice,46.0
2024-06-07,Assam,Rice,42.89
2024-06-07,Bihar,Rice,37.84
2024-06-07,Chandigarh,Rice,40.0
2024-06-07,Chhattisgarh,Rice,39.0
2024-06-07,Delhi,Rice,40.0
2024-06-07,DNH and DD,Rice,50.0
2024-06-07,Goa,Rice,52.5
2024-06-07,Gujarat,Rice,42.88
2024-06-07,Haryana,Rice,43.25
2024-06-07,Himachal Pradesh,Rice,40.83
2024-06-07,Jammu and Kashmir,Rice,47.8
2024-06-07,Jharkhand,Rice,39.44
2024-06-07,Karnataka,Rice,60.0
2024-06-07,Kerala,Rice,50.67
2024-06-07,Madhya Pradesh,Rice,40.93
2024-06-07,Maharashtra,Rice,51.58
2024-06-07,Manipur,Rice,50.0
2024-06-07,Meghalaya,Rice,44.3
2024-06-07,Mizoram,Rice,48.18
2024-06-07,Nagaland,Rice,41.75
2024-06-07,Odisha,Rice,38.33
2024-06-07,Puducherry,Rice,64.0
2024-06-07,Punjab,Rice,40.21
2024-06-07,Rajasthan,Rice,40.11
2024-06-07,Sikkim,Rice,54.2
2024-06-07,Tamil Nadu,Rice,61.7
2024-06-07,Telangana,Rice,54.0
2024-06-07,Tripura,Rice,38.25
2024-06-07,Uttar Pradesh,Rice,38.64
2024-06-07,Uttarakhand,Rice,36.67
2024-06-07,West Bengal,Rice,44.36
2024-06-08,Andaman and Nicobar,Rice,47.5
2024-06-08,Andhra Pradesh,Rice,60.25
2024-06-08,Arunachal pradesh,Rice,46.0
2024-06-08,Assam,Rice,41.82
2024-06-08,Bihar,Rice,38.32
2024-06-08,Chandigarh,Rice,40.0
2024-06-08,Chhattisgarh,Rice,39.25
2024-06-08,Delhi,Rice,40.0
2024-06-08,DNH and DD,Rice,50.0
2024-06-08,Gujarat,Rice,45.33
2024-06-08,Haryana,Rice,46.0
2024-06-08,Himachal Pradesh,Rice,40.83
2024-06-08,Jammu and Kashmir,Rice,48.8
2024-06-08,Jharkhand,Rice,39.53
2024-06-08,Karnataka,Rice,60.0
2024-06-08,Madhya Pradesh,Rice,40.27
2024-06-08,Maharashtra,Rice,51.58
2024-06-08,Meghalaya,Rice,44.14
2024-06-08,Mizoram,Rice,50.0
2024-06-08,Nagaland,Rice,41.75
2024-06-08,Odisha,Rice,38.64
2024-06-08,Punjab,Rice,39.21
2024-06-08,Rajasthan,Rice,40.63
2024-06-08,Sikkim,Rice,55.5
2024-06-08,Tamil Nadu,Rice,62.0
2024-06-08,Telangana,Rice,52.0
2024-06-08,Tripura,Rice,38.25
2024-06-08,Uttar Pradesh,Rice,38.91
2024-06-08,Uttarakhand,Rice,36.0
2024-06-08,West Bengal,Rice,42.88
2024-06-09,Andhra Pradesh,Rice,58.0
2024-06-09,Arunachal pradesh,Rice,48.0
2024-06-09,Assam,Rice,41.47
2024-06-09,Bihar,Rice,37.67
2024-06-09,Chandigarh,Rice,40.0
2024-06-09,Chhattisgarh,Rice,37.0
2024-06-09,Delhi,Rice,40.0
2024-06-09,DNH and DD,Rice,50.0
2024-06-09,Gujarat,Rice,44.4
2024-06-09,Haryana,Rice,46.0
2024-06-09,Himachal Pradesh,Rice,40.91
2024-06-09,Jammu and Kashmir,Rice,41.0
2024-06-09,Jharkhand,Rice,39.75
2024-06-09,Karnataka,Rice,59.76
2024-06-09,Madhya Pradesh,Rice,41.11
2024-06-09,Maharashtra,Rice,51.53
2024-06-09,Meghalaya,Rice,43.67
2024-06-09,Mizoram,Rice,50.0
2024-06-09,Odisha,Rice,37.5
2024-06-09,Puducherry,Rice,64.0
2024-06-09,Punjab,Rice,39.08
2024-06-09,Rajasthan,Rice,38.4
2024-06-09,Sikkim,Rice,57.0
2024-06-09,Tamil Nadu,Rice,60.94
2024-06-09,Telangana,Rice,54.0
2024-06-09,Uttar Pradesh,Rice,39.0
2024-06-09,West Bengal,Rice,42.38
2024-06-10,Andaman and Nicobar,Rice,47.5
2024-06-10,Andhra Pradesh,Rice,60.2
2024-06-10,Arunachal pradesh,Rice,46.0
2024-06-10,Assam,Rice,42.48
2024-06-10,Bihar,Rice,38.06
2024-06-10,Chhattisgarh,Rice,42.0
2024-06-10,Delhi,Rice,40.0
2024-06-10,DNH and DD,Rice,50.0
2024-06-10,Goa,Rice,52.5
2024-06-10,Gujarat,Rice,40.57
2024-06-10,Haryana,Rice,44.33
2024-06-10,Himachal Pradesh,Rice,40.83
2024-06-10,Jammu and Kashmir,Rice,46.5
2024-06-10,Jharkhand,Rice,39.47
2024-06-10,Karnataka,Rice,59.94
2024-06-10,Kerala,Rice,50.77
2024-06-10,Madhya Pradesh,Rice,40.92
2024-06-10,Maharashtra,Rice,51.63
2024-06-10,Manipur,Rice,50.0
2024-06-10,Meghalaya,Rice,45.6
2024-06-10,Mizoram,Rice,48.18
2024-06-10,Nagaland,Rice,41.64
2024-06-10,Odisha,Rice,38.23
2024-06-10,Puducherry,Rice,64.0
2024-06-10,Punjab,Rice,39.14
2024-06-10,Rajasthan,Rice,40.85
2024-06-10,Sikkim,Rice,54.2
2024-06-10,Tamil Nadu,Rice,61.97
2024-06-10,Telangana,Rice,54.3
2024-06-10,Tripura,Rice,38.25
2024-06-10,Uttar Pradesh,Rice,38.68
2024-06-10,Uttarakhand,Rice,38.0
2024-06-10,West Bengal,Rice,44.09
2024-06-11,Andaman and Nicobar,Rice,48.33
2024-06-11,Andhra Pradesh,Rice,60.75
2024-06-11,Arunachal pradesh,Rice,48.0
2024-06-11,Assam,Rice,42.32
2024-06-11,Bihar,Rice,37.89
2024-06-11,Chandigarh,Rice,40.0
2024-06-11,Chhattisgarh,Rice,41.33
2024-06-11,Delhi,Rice,40.0
2024-06-11,DNH and DD,Rice,50.0
2024-06-11,Goa,Rice,52.5
2024-06-11,Gujarat,Rice,42.14
2024-06-11,Haryana,Rice,43.25
2024-06-11,Himachal Pradesh,Rice,40.64
2024-06-11,Jammu and Kashmir,Rice,47.17
2024-06-11,Jharkhand,Rice,39.42
2024-06-11,Karnataka,Rice,59.91
2024-06-11,Kerala,Rice,50.67
2024-06-11,Madhya Pradesh,Rice,41.07
2024-06-11,Maharashtra,Rice,51.68
2024-06-11,Meghalaya,Rice,46.1
2024-06-11,Mizoram,Rice,48.18
2024-06-11,Nagaland,Rice,41.53
2024-06-11,Odisha,Rice,38.35
2024-06-11,Puducherry,Rice,64.0
2024-06-11,Punjab,Rice,39.87
2024-06-11,Rajasthan,Rice,41.73
2024-06-11,Sikkim,Rice,53.25
2024-06-11,Tamil Nadu,Rice,62.03
2024-06-11,Telangana,Rice,54.3
2024-06-11,Tripura,Rice,38.5
2024-06-11,Uttar Pradesh,Rice,38.71
2024-06-11,Uttarakhand,Rice,38.0
2024-06-11,West Bengal,Rice,44.09
2024-06-12,Andaman and Nicobar,Rice,48.33
2024-06-12,Andhra Pradesh,Rice,60.6
2024-06-12,Arunachal pradesh,Rice,46.0
2024-06-12,Assam,Rice,41.67
2024-06-12,Bihar,Rice,38.17
2024-06-12,Chandigarh,Rice,40.0
2024-06-12,Chhattisgarh,Rice,38.25
2024-06-12,Delhi,Rice,40.0
2024-06-12,DNH and DD,Rice,50.0
2024-06-12,Goa,Rice,52.5
2024-06-12,Gujarat,Rice,43.13
2024-06-12,Haryana,Rice,43.25
2024-06-12,Himachal Pradesh,Rice,40.92
2024-06-12,Jammu and Kashmir,Rice,52.0
2024-06-12,Jharkhand,Rice,39.28
2024-06-12,Karnataka,Rice,60.28
2024-06-12,Kerala,Rice,50.09
2024-06-12,Madhya Pradesh,Rice,41.13
2024-06-12,Maharashtra,Rice,51.68
2024-06-12,Manipur,Rice,50.0
2024-06-12,Meghalaya,Rice,46.1
2024-06-12,Mizoram,Rice,48.18
2024-06-12,Nagaland,Rice,41.75
2024-06-12,Odisha,Rice,38.06
2024-06-12,Puducherry,Rice,64.0
2024-06-12,Punjab,Rice,39.8
2024-06-12,Rajasthan,Rice,41.11
2024-06-12,Sikkim,Rice,54.6
2024-06-12,Tamil Nadu,Rice,61.71
2024-06-12,Telangana,Rice,54.2
2024-06-12,Tripura,Rice,38.5
2024-06-12,Uttar Pradesh,Rice,38.72
2024-06-12,Uttarakhand,Rice,37.75
2024-06-12,West Bengal,Rice,44.19
2024-06-13,Andaman and Nicobar,Rice,48.33
2024-06-13,Andhra Pradesh,Rice,60.6
2024-06-13,Arunachal pradesh,Rice,48.0
2024-06-13,Assam,Rice,42.04
2024-06-13,Bihar,Rice,38.12
2024-06-13,Chandigarh,Rice,40.0
2024-06-13,Chhattisgarh,Rice,41.63
2024-06-13,Delhi,Rice,40.0
2024-06-13,DNH and DD,Rice,50.0
2024-06-13,Goa,Rice,52.5
2024-06-13,Gujarat,Rice,43.13
2024-06-13,Haryana,Rice,43.25
2024-06-13,Himachal Pradesh,Rice,40.75
2024-06-13,Jammu and Kashmir,Rice,52.25
2024-06-13,Jharkhand,Rice,39.61
2024-06-13,Karnataka,Rice,60.06
2024-06-13,Kerala,Rice,49.92
2024-06-13,Madhya Pradesh,Rice,41.18
2024-06-13,Maharashtra,Rice,51.79
2024-06-13,Manipur,Rice,50.0
2024-06-13,Meghalaya,Rice,46.2
2024-06-13,Mizoram,Rice,47.91
2024-06-13,Nagaland,Rice,41.29
2024-06-13,Odisha,Rice,38.43
2024-06-13,Puducherry,Rice,64.0
2024-06-13,Punjab,Rice,39.64
2024-06-13,Rajasthan,Rice,41.45
2024-06-13,Sikkim,Rice,54.6
2024-06-13,Tamil Nadu,Rice,61.36
2024-06-13,Telangana,Rice,54.2
2024-06-13,Tripura,Rice,38.5
2024-06-13,Uttar Pradesh,Rice,38.79
2024-06-13,Uttarakhand,Rice,38.67
2024-06-13,West Bengal,Rice,44.17
2024-06-14,Andaman and Nicobar,Rice,48.33
2024-06-14,Andhra Pradesh,Rice,62.0
2024-06-14,Arunachal pradesh,Rice,44.67
2024-06-14,Assam,Rice,42.15
2024-06-14,Bihar,Rice,38.18
2024-06-14,Chandigarh,Rice,40.0
2024-06-14,Chhattisgarh,Rice,39.57
2024-06-14,Delhi,Rice,40.0
2024-06-14,DNH and DD,Rice,50.0
2024-06-14,Goa,Rice,52.5
2024-06-14,Gujarat,Rice,43.25
2024-06-14,Haryana,Rice,43.25
2024-06-14,Himachal Pradesh,Rice,40.75
2024-06-14,Jammu and Kashmir,Rice,52.0
2024-06-14,Jharkhand,Rice,39.53
2024-06-14,Karnataka,Rice,60.06
2024-06-14,Kerala,Rice,49.82
2024-06-14,Madhya Pradesh,Rice,41.11
2024-06-14,Maharashtra,Rice,51.68
2024-06-14,Manipur,Rice,50.0
2024-06-14,Meghalaya,Rice,46.2
2024-06-14,Mizoram,Rice,47.91
2024-06-14,Nagaland,Rice,41.75
2024-06-14,Odisha,Rice,39.56
2024-06-14,Puducherry,Rice,64.0
2024-06-14,Punjab,Rice,39.64
2024-06-14,Rajasthan,Rice,40.74
2024-06-14,Sikkim,Rice,53.25
2024-06-14,Tamil Nadu,Rice,61.85
2024-06-14,Telangana,Rice,54.7
2024-06-14,Tripura,Rice,38.5
2024-06-14,Uttar Pradesh,Rice,38.8
2024-06-14,Uttarakhand,Rice,38.67
2024-06-14,West Bengal,Rice,44.22
2024-06-15,Andaman and Nicobar,Rice,48.33
2024-06-15,Andhra Pradesh,Rice,60.6
2024-06-15,Arunachal pradesh,Rice,55.0
2024-06-15,Assam,Rice,42.35
2024-06-15,Bihar,Rice,38.29
2024-06-15,Chandigarh,Rice,40.0
2024-06-15,Chhattisgarh,Rice,40.8
2024-06-15,Delhi,Rice,40.0
2024-06-15,DNH and DD,Rice,50.0
2024-06-15,Gujarat,Rice,42.14
2024-06-15,Haryana,Rice,46.0
2024-06-15,Himachal Pradesh,Rice,40.75
2024-06-15,Jammu and Kashmir,Rice,46.5
2024-06-15,Jharkhand,Rice,39.53
2024-06-15,Karnataka,Rice,60.0
2024-06-15,Kerala,Rice,50.67
2024-06-15,Madhya Pradesh,Rice,40.7
2024-06-15,Maharashtra,Rice,51.84
2024-06-15,Meghalaya,Rice,45.75
2024-06-15,Mizoram,Rice,50.0
2024-06-15,Nagaland,Rice,41.75
2024-06-15,Odisha,Rice,39.67
2024-06-15,Puducherry,Rice,64.0
2024-06-15,Punjab,Rice,38.86
2024-06-15,Rajasthan,Rice,42.6
2024-06-15,Sikkim,Rice,53.25
2024-06-15,Tamil Nadu,Rice,61.52
2024-06-15,Telangana,Rice,54.3
2024-06-15,Tripura,Rice,38.5
2024-06-15,Uttar Pradesh,Rice,38.78
2024-06-15,Uttarakhand,Rice,37.75
2024-06-15,West Bengal,Rice,42.94
2024-06-16,Andhra Pradesh,Rice,59.0
2024-06-16,Arunachal pradesh,Rice,55.0
2024-06-16,Assam,Rice,42.73
2024-06-16,Bihar,Rice,36.81
2024-06-16,Chandigarh,Rice,40.0
2024-06-16,Chhattisgarh,Rice,40.8
2024-06-16,Delhi,Rice,40.0
2024-06-16,DNH and DD,Rice,50.0
2024-06-16,Gujarat,Rice,46.67
2024-06-16,Haryana,Rice,36.5
2024-06-16,Himachal Pradesh,Rice,40.75
2024-06-16,Jammu and Kashmir,Rice,38.5
2024-06-16,Jharkhand,Rice,39.75
2024-06-16,Karnataka,Rice,59.83
2024-06-16,Madhya Pradesh,Rice,41.47
2024-06-16,Maharashtra,Rice,51.84
2024-06-16,Meghalaya,Rice,44.33
2024-06-16,Mizoram,Rice,50.0
2024-06-16,Odisha,Rice,38.22
2024-06-16,Puducherry,Rice,64.0
2024-06-16,Punjab,Rice,38.75
2024-06-16,Rajasthan,Rice,40.5
2024-06-16,Sikkim,Rice,49.5
2024-06-16,Tamil Nadu,Rice,61.6
2024-06-16,Telangana,Rice,50.0
2024-06-16,Uttar Pradesh,Rice,38.62
2024-06-16,Uttarakhand,Rice,36.0
2024-06-16,West Bengal,Rice,42.46
2024-06-17,Andaman and Nicobar,Rice,52.0
2024-06-17,Andhra Pradesh,Rice,60.6
2024-06-17,Arunachal pradesh,Rice,48.0
2024-06-17,Assam,Rice,40.0
2024-06-17,Bihar,Rice,37.44
2024-06-17,Chandigarh,Rice,40.0
2024-06-17,Chhattisgarh,Rice,39.0
2024-06-17,Delhi,Rice,40.0
2024-06-17,DNH and DD,Rice,50.0
2024-06-17,Gujarat,Rice,44.75
2024-06-17,Haryana,Rice,43.25
2024-06-17,Himachal Pradesh,Rice,40.75
2024-06-17,Jammu and Kashmir,Rice,36.0
2024-06-17,Jharkhand,Rice,40.31
2024-06-17,Karnataka,Rice,59.9
2024-06-17,Madhya Pradesh,Rice,41.39
2024-06-17,Maharashtra,Rice,51.89
2024-06-17,Meghalaya,Rice,45.57
2024-06-17,Mizoram,Rice,47.13
2024-06-17,Nagaland,Rice,41.75
2024-06-17,Odisha,Rice,39.5
2024-06-17,Puducherry,Rice,65.0
2024-06-17,Punjab,Rice,38.86
2024-06-17,Rajasthan,Rice,38.22
2024-06-17,Sikkim,Rice,54.67
2024-06-17,Tamil Nadu,Rice,60.65
2024-06-17,Telangana,Rice,50.0
2024-06-17,Tripura,Rice,38.5
2024-06-17,Uttar Pradesh,Rice,38.86
2024-06-17,Uttarakhand,Rice,39.5
2024-06-17,West Bengal,Rice,43.06
2024-06-18,Andaman and Nicobar,Rice,48.0
2024-06-18,Andhra Pradesh,Rice,60.6
2024-06-18,Arunachal pradesh,Rice,50.0
2024-06-18,Assam,Rice,42.42
2024-06-18,Bihar,Rice,37.97
2024-06-18,Chandigarh,Rice,40.0
2024-06-18,Chhattisgarh,Rice,42.29
2024-06-18,Delhi,Rice,40.0
2024-06-18,DNH and DD,Rice,50.0
2024-06-18,Goa,Rice,52.5
2024-06-18,Gujarat,Rice,42.33
2024-06-18,Haryana,Rice,44.0
2024-06-18,Himachal Pradesh,Rice,40.83
2024-06-18,Jammu and Kashmir,Rice,36.0
2024-06-18,Jharkhand,Rice,39.53
2024-06-18,Karnataka,Rice,60.33
2024-06-18,Kerala,Rice,50.69
2024-06-18,Madhya Pradesh,Rice,41.32
2024-06-18,Maharashtra,Rice,51.95
2024-06-18,Meghalaya,Rice,46.0
2024-06-18,Mizoram,Rice,47.91
2024-06-18,Nagaland,Rice,41.75
2024-06-18,Odisha,Rice,39.05
2024-06-18,Puducherry,Rice,65.0
2024-06-18,Punjab,Rice,39.4
2024-06-18,Rajasthan,Rice,42.35
2024-06-18,Sikkim,Rice,54.67
2024-06-18,Tamil Nadu,Rice,61.81
2024-06-18,Telangana,Rice,54.4
2024-06-18,Tripura,Rice,38.5
2024-06-18,Uttar Pradesh,Rice,38.81
2024-06-18,Uttarakhand,Rice,38.0
2024-06-18,West Bengal,Rice,44.73
2024-06-19,Andaman and Nicobar,Rice,48.0
2024-06-19,Andhra Pradesh,Rice,60.2
2024-06-19,Arunachal pradesh,Rice,48.0
2024-06-19,Assam,Rice,43.04
2024-06-19,Bihar,Rice,38.05
2024-06-19,Chandigarh,Rice,40.0
2024-06-19,Chhattisgarh,Rice,39.57
2024-06-19,Delhi,Rice,40.0
2024-06-19,DNH and DD,Rice,45.0
2024-06-19,Goa,Rice,52.5
2024-06-19,Gujarat,Rice,43.25
2024-06-19,Haryana,Rice,42.75
2024-06-19,Himachal Pradesh,Rice,40.75
2024-06-19,Jammu and Kashmir,Rice,46.25
2024-06-19,Jharkhand,Rice,39.74
2024-06-19,Karnataka,Rice,60.03
2024-06-19,Kerala,Rice,50.42
2024-06-19,Madhya Pradesh,Rice,41.19
2024-06-19,Maharashtra,Rice,52.16
2024-06-19,Manipur,Rice,50.0
2024-06-19,Meghalaya,Rice,46.1
2024-06-19,Mizoram,Rice,47.91
2024-06-19,Nagaland,Rice,41.75
2024-06-19,Odisha,Rice,39.41
2024-06-19,Puducherry,Rice,65.0
2024-06-19,Punjab,Rice,39.6
2024-06-19,Rajasthan,Rice,42.73
2024-06-19,Sikkim,Rice,54.6
2024-06-19,Tamil Nadu,Rice,61.46
2024-06-19,Telangana,Rice,54.67
2024-06-19,Tripura,Rice,38.5
2024-06-19,Uttar Pradesh,Rice,38.79
2024-06-19,Uttarakhand,Rice,37.75
2024-06-19,West Bengal,Rice,44.5
2024-06-20,Andaman and Nicobar,Rice,48.0
2024-06-20,Andhra Pradesh,Rice,60.2
2024-06-20,Arunachal pradesh,Rice,48.0
2024-06-20,Assam,Rice,43.04
2024-06-20,Bihar,Rice,38.05
2024-06-20,Chandigarh,Rice,40.0
2024-06-20,Chhattisgarh,Rice,39.57
2024-06-20,Delhi,Rice,40.0
2024-06-20,DNH and DD,Rice,45.0
2024-06-20,Goa,Rice,52.5
2024-06-20,Gujarat,Rice,43.25
2024-06-20,Haryana,Rice,42.75
2024-06-20,Himachal Pradesh,Rice,40.75
2024-06-20,Jammu and Kashmir,Rice,46.25
2024-06-20,Jharkhand,Rice,39.74
2024-06-20,Karnataka,Rice,60.03
2024-06-20,Kerala,Rice,50.42
2024-06-20,Madhya Pradesh,Rice,41.19
2024-06-20,Maharashtra,Rice,52.16
2024-06-20,Manipur,Rice,50.0
2024-06-20,Meghalaya,Rice,46.1
2024-06-20,Mizoram,Rice,47.91
2024-06-20,Nagaland,Rice,41.75
2024-06-20,Odisha,Rice,39.41
2024-06-20,Puducherry,Rice,65.0
2024-06-20,Punjab,Rice,39.6
2024-06-20,Rajasthan,Rice,42.73
