DATE,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
01/06/2024,Uttar Pradesh,38.66,25.93,31.94,80.6,151.1,118.03,111.56,93.65,43.56,62.26,188.07,138.39,128.21,131.21,154.61,110.64,47.45,236.39,26.52,23.48,28.5,27.45
01/06/2024,Uttarakhand,35.5,28.5,34.5,89.5,138.5,110.5,109.5,104.5,41,53.5,147.5,137,134.5,134,154.5,143,50.5,267,28,23.5,27,25
01/06/2024,West Bengal,44.13,29.75,37.38,83,153.38,123.07,126.75,105.38,45.88,54.94,200.9,128.94,110.88,110.38,125.13,99,51.06,259.31,21.63,28.19,30.44,34.75
02/06/2024,Andhra Pradesh,59,45.5,49.25,86.5,167.25,139.5,127.75,103.5,42.25,63.25,164,167.5,110.25,145,109.25,92,58.75,312,21.5,34.25,30,35.25
02/06/2024,Arunachal pradesh,48,45,46.33,102.33,149.67,131.67,121.67,108.33,55,75,167,163,137,143,163,,75,303.5,22.5,31,40,50
02/06/2024,Assam,42.06,32.14,35.82,85.35,158.12,111.36,116,92.94,47.06,71.94,233,148,134.18,131.76,149.07,109.45,60.06,259.94,14.71,30.12,32.71,36.88
02/06/2024,Bihar,38.63,26.69,32.69,81.94,155.88,125.94,116.69,80.25,44.38,56.25,161.86,130.38,119.63,125.06,157.8,103.92,46.69,291.31,22.63,22.56,28.69,30.81
02/06/2024,Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
02/06/2024,Chhattisgarh,39.2,38,40.4,93,163.8,118.6,119.2,93.2,43.2,57.4,192.6,145.2,118.6,130.2,148.2,111.8,46.8,248.6,23.6,29.2,31.8,29.2
02/06/2024,Delhi,40,29,31,87,173,142,123,90,44,54,207,145,130,130,139,104,58,243,26,28,30,28
02/06/2024,DNH and DD,50,40.67,47.33,87.67,172.33,144,131.33,94.67,43,64,194,147,134,134.67,127,107.67,63.67,350,27.33,32.67,29,27
02/06/2024,Gujarat,45,38,41.67,85.67,161,133,119,95.33,42.33,60.67,186.33,144,135.67,137.67,133.67,118,52.67,249.67,14,30,32.67,34
02/06/2024,Haryana,36.5,26,31.5,70,124,103,97,81,42.5,56.5,187.5,142.5,120,128.5,144,100,46,216,22.5,16,22.5,23.5
02/06/2024,Himachal Pradesh,40.67,22,33,85.33,164.08,134,116.25,88.25,46.92,52,219.5,160.42,137.75,129.7,143.5,118,48.33,269.58,27.5,30.5,34.42,31.08
02/06/2024,Jammu and Kashmir,38,34,45.5,95,149,130,127.5,102.5,50,47,,146,134.5,130,160.5,140,56.5,333.5,28,35,38.5,41
02/06/2024,Jharkhand,40.09,31.8,34.91,80.55,157.82,118,111,82.82,45.27,58.6,192.57,134.73,117.55,123.9,151.38,103.6,48.36,278.73,23.09,24.82,26.64,27.73
02/06/2024,Karnataka,59.68,43.52,47.23,93.74,165.77,140.42,126.58,104.9,43.2,50.6,182.4,162.37,119.2,135.45,117.67,97.37,53.37,289.17,20.27,35.4,30.73,34.93
02/06/2024,Madhya Pradesh,41.1,29.05,34.26,84.45,164.6,119.79,115.45,90.86,43.27,57.27,190.15,133.66,119.17,111.59,135.55,111.6,47.37,249.65,19.75,25.8,25.05,26.61
02/06/2024,Maharashtra,51.32,38.42,42.63,88.63,173.42,134.42,128,97.11,42.68,59.47,182.11,157.67,127.63,110.63,120.26,102.19,54.47,298.79,23.26,36.53,28.74,34.68
02/06/2024,Meghalaya,42.67,37,35.33,89.33,156.67,127.67,121,92.67,48,74,,121.5,130,118.5,210,,75,330,30,30,40,43.5
02/06/2024,Mizoram,50,37.5,52.5,98,,,120,102.5,50,77.5,,185,220,140,,,132.5,520,27.5,50,65,63.5
02/06/2024,Odisha,40,36,36.8,85,167.8,122.6,113,80.8,44.4,52,165,135.4,109.4,115,113.2,94.4,54.6,249.6,26.2,27.8,28.2,40.2
02/06/2024,Punjab,38.82,25.45,31.18,92.82,162.09,129.64,118.82,100.45,44.18,60.73,198.55,128.09,122.18,120.27,131.82,101.33,54,270.64,26.18,25,27.55,21.91
02/06/2024,Rajasthan,38,29.43,31.57,75.29,133.57,113.57,105.43,85.43,41.43,51.14,163,134.43,117.57,130.57,139.5,111,42.86,283.43,17.43,20.57,30.57,31.86
02/06/2024,Sikkim,60,36,36,80,135,135,130,110,50,60,,187,167,,210,,66,343,17,35,50,45
02/06/2024,Tamil Nadu,62.4,45.5,56.3,91.4,178.95,143.45,125.2,91.38,44.58,49.05,201.32,179.28,126.79,,113.16,93.47,56.84,307.42,24.26,46,35.95,40.05
02/06/2024,Telangana,50,38.67,50,81.67,162.67,132,115.67,93.33,40.67,60,158.33,156,107,105,112,97.67,55.67,294.67,19.5,21.67,24.33,29
02/06/2024,Uttar Pradesh,38.67,25.8,32.07,82.33,154.64,120.07,113.51,93.89,43.76,62.07,189.33,137.33,127.29,130.09,153.06,111.27,48.62,233.85,26.6,24.27,28.09,27.78
02/06/2024,Uttarakhand,34,24,35,80,160,112,120,110,42,50,150,127,120,125,165,,50,280,28,20,30,20
02/06/2024,West Bengal,42.77,28.83,38,81.46,152.46,121.17,125.62,106.23,45.54,56,197.57,130.31,108.77,111.46,128.08,100.85,52.69,261,21.69,28.31,29.77,35.23
03/06/2024,Andaman and Nicobar,48.33,,67.67,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33,,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
03/06/2024,Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,312,21.8,33.8,29.8,33
03/06/2024,Arunachal pradesh,46,45,44.75,99.25,152,133.5,123.5,103.5,53.33,75,143.5,152.67,152.33,135.33,177,130,75,305,19.33,32,40,50
03/06/2024,Assam,42.63,32.25,36.11,87.37,156.59,115.26,115.67,91.56,47.15,71.8,208.14,149.04,134.86,136.52,146.65,112.67,58.77,252.12,13.42,29.37,34.89,35.76
03/06/2024,Bihar,37.91,26.94,33.24,80.3,152.48,120.76,113.61,79.82,44.24,56.12,175.07,133.24,120.91,125.36,158.63,104.44,47.18,275.06,23.3,22.18,29.82,30.36
03/06/2024,Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
03/06/2024,Chhattisgarh,41.14,38.57,40.29,93.71,166.71,115.29,114.86,97.14,43.43,55.86,201.14,151.14,130.86,133,147,117.14,47.14,262.57,22.71,27.71,32.57,27.57
03/06/2024,Delhi,40,29,31,88,173,142,123,90,44,56,207,148,130,128,139,104,58,243,26,28,32,28
03/06/2024,DNH and DD,50,41,47.33,88.67,173.67,144,131.33,94.67,43.33,65,194,147,134,134.67,127,107.67,63.67,350,27.33,32.67,29,32.67
03/06/2024,Goa,53,50,51,90,170,148,125,98,44,59,223,140,137,123,120,98,60,343,24,38,33,38
03/06/2024,Gujarat,43.29,36.14,39.29,85.71,158.43,125.13,118.14,92.5,42.5,60.75,179.29,139.75,128.88,128.5,123,105.25,50.71,252.5,16.25,28.13,29,32.13
03/06/2024,Haryana,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60,177.25,137,128,128.25,154.25,106,48.5,231.25,25.5,19.5,35.25,26.75
03/06/2024,Himachal Pradesh,40.67,22,33.08,85.58,164.08,134.08,116.25,88.25,47,52,219.5,160.75,137.58,129.7,143.5,118,48.25,269.58,27.5,30.42,34.92,30.42
03/06/2024,Jammu and Kashmir,46.83,32.8,39,96.17,151.17,128.33,125,103.17,51,50.67,,146.67,135.83,130.83,144,121.33,55.17,310,26.83,29.5,34.83,33
03/06/2024,Jharkhand,39.37,31.39,34.84,80.95,156,119.63,111.63,82.37,45.61,58.94,178.92,138.05,123.89,126,151,103.59,48.94,288.88,24.28,25.74,28.84,29.32
03/06/2024,Karnataka,60.4,43.7,47.2,92.9,166.27,142,127.3,106.2,43.07,50.47,180,164.73,119.17,137.14,119.67,97.57,52.47,285.73,20.47,37.03,32.8,35.73
03/06/2024,Kerala,50.77,44.69,46.17,101.85,184.54,151.17,139,114.08,44.42,53.83,224,173,142.58,130,118.25,102.27,64,232.82,14.73,48.75,35.58,57.83
03/06/2024,Madhya Pradesh,40.92,28.81,34.23,85.17,163.29,119.83,115.29,91.02,43.34,57.4,189.29,134.79,120.35,112.25,136.72,110.3,47.19,252.19,19.84,25.53,25.87,27.19
03/06/2024,Maharashtra,51.37,38.37,42.58,89.16,173.84,134.63,127.84,97.26,42.84,59.47,182.05,157.89,127.63,110.79,120.37,102.19,54.53,298.53,23.32,36.58,29,35.37
03/06/2024,Manipur,50,42,37,100,180,145,135,90,55,,100,140,130,130,125,130,85,240,25,36,45,35
03/06/2024,Meghalaya,38.1,38.33,37.1,90.83,164,134.5,121,89.8,49.5,73.8,,133.1,138,125.2,172,126,74.17,370.9,21.3,32.5,39.6,40.9
03/06/2024,Mizoram,48,42.22,45.44,109.63,149.67,124.5,127.5,99.5,50.3,77.8,150,185.4,175,128.1,198.5,128.4,122.71,475,29.1,40.1,54.4,75.8
03/06/2024,Nagaland,41.75,42.88,48,100.83,130.25,133.13,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.38,50.31,49.06
03/06/2024,Odisha,38.73,37,39.81,83.64,162.05,123.82,113.5,82.68,45.1,52.86,161.6,137.32,111.86,125.14,114.45,95.77,50.95,276.31,25.95,27.18,31.23,38.18
03/06/2024,Punjab,39.73,25,31.07,90.67,155.93,127.2,116.87,100.2,44.6,59.6,201.08,127.6,121.93,119.67,134.23,102.36,54.07,270,26.53,24.2,28.2,23.6
03/06/2024,Rajasthan,40.24,29.17,32.62,75.21,128.21,110.21,103.03,88.83,42.62,51.56,183.5,147.5,123.44,135.15,158.22,121.67,44.34,295.76,20.69,24.55,33.62,33.55
03/06/2024,Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4,,166.6,127.2,137.5,170.2,,59.2,410,18.6,36,47,42
03/06/2024,Tamil Nadu,61.82,45.06,54.24,91.91,178.97,143.79,125.29,94.26,44.24,47.26,202.47,174.94,125.85,,113.21,93.41,55.94,309.96,24.38,45.29,36.21,40.82
03/06/2024,Telangana,54.1,42.8,45.9,80.22,164.1,129.1,118.9,92.3,41.4,66.2,162.4,165.8,121.2,150.67,115.9,97.8,56.5,302,20.67,30.1,26.2,31.1
03/06/2024,Tripura,38.25,,39,87,144.33,128,111.25,103.75,48,70.25,,131.75,122.67,116,139.75,100.25,69.25,221.5,10,33.75,34.25,38.75
03/06/2024,Uttar Pradesh,38.49,26.03,32.18,81.11,152.59,118.59,113.31,93.36,43.61,62.48,188.59,138.7,127.58,130.5,152.51,110.33,48.23,238.95,26.62,23.85,28.14,27.55
03/06/2024,Uttarakhand,37.25,27,34.5,89.5,144.75,114.25,113.25,99.75,41.75,58,154.75,138.75,130.75,131,147,116.5,54.5,263.5,28,26.25,26.5,23.75
03/06/2024,West Bengal,44.1,30,37.81,84.43,154.81,124.5,129.48,105.86,46.1,55.05,200.9,131.76,112.05,112.81,127.05,99.75,52.19,272.9,22.1,28.57,30.62,36.48
04/06/2024,Andaman and Nicobar,48.33,,67.67,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33,,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
04/06/2024,Andhra Pradesh,52.5,45,47.5,92,179,138.5,125,88.5,44,61,166,162,110.5,,107,91.5,58,288.5,20,36,31.5,40.5
04/06/2024,Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,74.67,143.5,154.33,152.33,136,177.67,,72.5,313.5,20,33,40,50
04/06/2024,Assam,41.74,33.11,35.83,85.52,157.26,113.11,115.39,92.43,47.23,72.24,220,147.82,132.47,133.55,146.56,111.71,59.77,242.23,13.55,29.27,34.86,37.75
04/06/2024,Bihar,37.68,26.68,32.32,80.68,152.58,120.89,115.16,80.16,44.53,56.42,170.8,134.37,120.26,125.63,156.2,105.82,47.37,259.84,23.74,21.53,29.95,27.47
04/06/2024,Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
04/06/2024,Chhattisgarh,38.75,39.25,39,92.5,165.75,124.25,121,98.5,43.75,51,190.25,157.5,143.25,142.5,152.5,127.5,47,240.75,19.5,27.25,33.25,31.25
04/06/2024,Delhi,40,29,31,88,173,142,123,90,44,56,207,148,130,128,139,104,58,243,26,28,32,28
04/06/2024,DNH and DD,50,41,47.33,89.33,174.67,144.67,131.33,95,43.33,65,192.33,148,134,134.67,127,107.67,63.67,350,27.33,32,29.67,33.67
04/06/2024,Goa,53,50,51,90,170,148,125,98,44,59,223,140,137,123,120,98,60,343,24,38,33,42
04/06/2024,Gujarat,43.83,36.67,40.17,87,167,127.17,120,94,42.5,61.33,179.17,144.2,125.5,127.33,125.17,104.83,50.6,247.67,16.5,27,29,30.33
04/06/2024,Haryana,43.75,29.75,34.5,77.5,126.75,107.75,107.25,95.75,43.5,60,177.25,137,128,128.25,154.25,106,48.5,231.25,25.5,19.5,35.25,26.75
04/06/2024,Himachal Pradesh,40.67,22,33.08,85.58,164.08,134.08,116.25,88.25,47.08,52,219.5,160.75,137.58,129.7,143.5,118,48.5,269.58,27.5,30.25,35,30.08
04/06/2024,Jammu and Kashmir,48,30,38.4,92,158,129.4,124.6,101.6,51.8,51.6,,147,134.6,128,144,121.33,57,306,26.6,30.2,35.2,32.6
04/06/2024,Jharkhand,39.5,31.47,35.38,81.13,154.19,120.56,112.31,83.19,45.67,59.21,168.64,139.19,125.56,127.53,152.75,104.67,49.13,282.21,24.2,25.5,29,29.38
04/06/2024,Karnataka,59.83,44,47.53,92.1,165.67,141.23,126.63,107.1,43.1,50.6,181.37,163.83,120.43,135.31,118.73,98.4,53.13,291.63,20.8,35.5,31.9,35.5
04/06/2024,Kerala,50.42,44.5,45.73,102.42,183.25,152.27,136.64,114.08,44.38,54.38,225.86,176.3,143.92,130,117.85,100.82,62.69,232.33,14.92,48.08,35.77,57.38
04/06/2024,Madhya Pradesh,40.71,28.59,34.26,83.82,166,120.09,115.12,91.09,43.33,57.12,190.88,135.42,120.55,112.82,139.25,114.25,47.36,245.3,19.48,25.53,25.35,26.56
04/06/2024,Maharashtra,51.37,38.42,42.58,89.26,174.11,134.68,127.84,97.26,42.74,59.47,182.11,157.94,127.74,111.05,120.47,102.25,54.42,298.89,23.32,36.68,29.11,35.47
04/06/2024,Meghalaya,38.71,37.5,36.43,89.5,158,134,121.43,89.71,49.29,74.14,,127.57,132.33,121.71,190.5,,73.2,349.29,23.29,32.57,39.86,42.71
04/06/2024,Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,185.55,170.8,128.64,183.67,130.83,119.63,479.67,29.18,40.18,53.36,75.91
04/06/2024,Nagaland,41.75,42.88,48,100.83,130.25,133.13,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.69,50.63,49.38
04/06/2024,Odisha,37.89,38,40.12,83.56,161.28,125.67,113.61,83.56,44.83,52.65,172.5,139.39,112.65,125.6,116.22,96.11,50.17,263.92,26.44,27,33.17,38.11
04/06/2024,Punjab,39.8,25.07,31.07,89.93,155.6,126.73,116.73,99.8,44.67,59.4,199.25,126.93,121.86,119.29,135.17,103,53.53,268.2,26.47,24.33,28.27,23.27
04/06/2024,Rajasthan,39.65,29.55,32.45,77.9,134.1,112.85,104.9,88.3,42.75,51.5,186.26,146.21,122.83,126.61,152.65,110.33,45,280.15,19.65,24.26,32.32,32.68
04/06/2024,Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4,,166.6,127.2,137.5,170.2,,59.2,410,18.6,36.4,47,42
04/06/2024,Tamil Nadu,60.96,45.5,53.79,92.21,178.72,143.52,124.66,94.12,44.21,46.17,204.07,172.56,127.69,,113.03,92.69,55.52,300.43,24.17,44.83,36.1,42.03
04/06/2024,Telangana,51,40.86,45.86,78.57,159.57,127.57,117.43,90,40.14,65,162.14,163.29,117.57,142.67,113.57,98.14,56,295.57,19.5,26.14,26.71,30.14
04/06/2024,Tripura,37,,38.67,87,144.33,128,113.33,102.67,49,71,,129.33,122.67,117,142.67,98.67,67.33,207,10,33.33,34,37
04/06/2024,Uttar Pradesh,38.38,26.13,32.32,81.7,153.52,119.1,113.33,93.45,43.6,62.78,188.28,138.96,127.86,130.88,152.62,111.13,48.49,240.53,26.64,24.18,28.18,27.25
04/06/2024,Uttarakhand,37,27,34.25,88.5,143.75,113.75,112.75,99,41.75,58.5,154.25,138.5,130.5,132,146.75,116.5,54.5,263.5,28,26.25,26.5,22.75
04/06/2024,West Bengal,43.89,30.11,37.58,83.42,154.11,124.61,125.58,105.42,45.95,54.95,200.8,131.32,111.37,113.53,127.84,99.41,52.95,267.84,22.42,28.32,31.16,35.58
05/06/2024,Andaman and Nicobar,48.33,,67.67,95,171,154.33,136,100.67,54.33,73,232.5,173,178.33,,132.67,118.67,77.33,308.33,19.67,58.33,53.33,76.67
05/06/2024,Andhra Pradesh,60.2,44.4,47.4,87.4,173,137.6,126.2,102.8,42.8,60.4,165.8,169.4,110.4,143,110.4,91.2,59,312,21.8,33,29,34
05/06/2024,Arunachal pradesh,46,45,44.75,99.25,151.75,133.25,123.25,103.25,53.33,75.33,143.5,154.33,152.33,136,177.67,,76.5,301,19.33,31.67,40,50
05/06/2024,Assam,41.76,32.33,35.8,88.36,159.68,114.76,115.96,91.92,47.16,71.5,211.17,149.72,135.16,136.24,147.36,114.06,58.68,252.88,13.64,29.64,34.2,37.08
05/06/2024,Bihar,38.22,27.03,33.03,81,153,121.44,114.41,80.25,44.13,55.66,186.71,134.16,122.53,126.03,160.16,104.35,47.25,278.97,23.06,21.72,30,29.72
05/06/2024,Chandigarh,42,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40
05/06/2024,Chhattisgarh,41.14,38.57,40.29,93.71,166.29,115.29,114.86,97.14,43.29,55.71,201,151.14,130.86,133,147,117.14,47.14,262.43,22.57,27.86,32.71,28.43
05/06/2024,Delhi,40,29,31,90,173,143,123,90,44,56,207,148,130,128,139,104,58,243,26,30,32,28
05/06/2024,DNH and DD,50,41,47.33,90,174.67,144.67,131.33,95,43.33,65,192,148,134,134.67,127,107.67,63.67,350,27.33,32,30,36
05/06/2024,Goa,52.5,48,45.5,92.5,173.5,150,131.5,98,44,57.5,220.5,157.5,140,148,115,98.5,59,329,24.5,38,35.5,44
05/06/2024,Gujarat,43.71,36.71,40.14,86.86,170,125.63,118.29,92.88,42.63,61.25,178.14,144.13,128.63,129,124.75,104.13,51.17,251.5,16.13,29.25,30.38,32.63
05/06/2024,Haryana,43.75,29.75,34.75,78,129.25,108,108.25,96.25,43.75,60,177.75,137.75,127.5,127.25,153.75,106.25,48.75,231.25,25.5,19.5,35.25,26
05/06/2024,Himachal Pradesh,40.75,22,33.17,85.58,164.17,134.17,116.33,88.25,47.25,52.08,219.5,160.67,137.5,129.1,143.5,118,48.58,269.58,27.5,30.25,34.67,29.75
05/06/2024,Jammu and Kashmir,48,30,37.4,91.4,157.4,130,124.6,101.2,51.8,51.6,,148.4,134.4,128,144.5,121.33,56,304.6,26.6,29.8,34.8,32.6
05/06/2024,Jharkhand,39.44,31.53,35,81.22,155.33,119.61,111.17,82.44,45.53,58.81,175.5,138.5,124,126.35,151.21,103.53,48.41,280.69,24.12,25.72,28.83,28.94
05/06/2024,Karnataka,59.88,43.75,47.66,93.78,165.91,141.41,127.28,106.66,42.94,50.88,180.47,162.84,120.44,136.39,120.16,97.81,52.78,289.34,20.41,35.81,32.44,35.97
05/06/2024,Kerala,50.25,45,46,102.08,182.5,149.9,137,115,44.08,54.25,225.5,175.25,143.92,130,117.33,99.6,61.18,231.91,14.73,47.25,35.33,59.75
05/06/2024,Madhya Pradesh,40.9,28.88,34.38,85.73,163.73,119.88,115.23,91.35,43.3,57.39,189.21,135.13,120.26,112.34,136.91,110.22,47.24,253.22,20.09,25.5,25.7,27.22
05/06/2024,Maharashtra,51.53,38.32,42.53,89.53,174.32,134.68,127.84,97.16,42.84,59.53,182.16,157.78,127.74,111,120.84,102.13,54.74,299.11,23.32,37.11,29.68,36.37
05/06/2024,Manipur,50,45,40,100,180,145,135,90,55,,100,140,130,130,125,130,85,240,25,36,45,35
05/06/2024,Meghalaya,38.1,38.5,37.1,90.83,164,134.5,121,89.8,49.4,73.8,,133.8,138.5,126.1,172,126,73.83,371.2,21.3,32.8,39.9,41.2
05/06/2024,Mizoram,48.18,42,45.9,107.44,150.71,125.86,128.11,99.55,50.27,78,159.5,186.36,170.8,127.91,183.67,130.83,119.63,479.67,29.18,40.27,53.36,75.73
05/06/2024,Nagaland,41.75,42.88,48,100.83,129.83,133.13,121.67,97.38,50.38,73.29,200,139.19,166,150.19,195,142.5,84,322.67,17.88,33.69,50.31,49.38
05/06/2024,Odisha,38.35,36.88,39.32,83.13,161.3,125.09,114.22,82.91,44.87,52.77,161.6,138.09,112.18,121.63,115.57,95,50.78,278.18,25.96,27.3,32.96,40.17
05/06/2024,Puducherry,64,45,40,91,173,134,118,90,43,48,193,146,141,,110,98,48,297,26,43,36,28
05/06/2024,Punjab,40.29,24.86,31,89.86,156.93,127.79,116.14,99.21,44.86,60,200.75,128.21,120.57,119.29,134,101.6,52.77,269.77,27.07,24.5,28.93,22.79
05/06/2024,Rajasthan,41.04,28.96,32.37,76.19,131.11,111.15,102.96,89.07,42.33,52.26,183.12,148.88,122.32,134.32,156.48,129.75,44.41,291.76,19.7,25.42,32.04,31.92
05/06/2024,Sikkim,54.2,35.2,38.4,85,133,126.6,124,101,49,63.4,,166.6,127.2,137.5,170.2,,59.2,410,18.6,36.4,47,42
05/06/2024,Tamil Nadu,61.64,45.94,54.35,92.06,179.5,144.56,124.76,93.83,44.15,47.29,203.24,172.97,126.09,,113,93.32,56.38,310.54,24.15,45.65,36.97,47.53
05/06/2024,Telangana,54.2,42.4,45.8,80.11,164,129.7,119,93,41.3,66.2,162.4,165.7,121.1,150.5,115.7,97.7,56.5,301.7,20.67,30.9,26.5,31.4
