Dates,States/UTs,Commodity,Price
7/2/2024,Karnataka,Rice,59.37
7/2/2024,Kerala,Rice,50.31
7/2/2024,Madhya Pradesh,Rice,41.19
7/2/2024,Maharashtra,Rice,53.47
7/2/2024,Manipur,Rice,50
7/2/2024,Meghalaya,Rice,46.3
7/2/2024,Mizoram,Rice,48
7/2/2024,Nagaland,Rice,41.75
7/2/2024,Odisha,Rice,38.67
7/2/2024,Puducherry,Rice,65
7/2/2024,Punjab,Rice,39.93
7/2/2024,Rajasthan,Rice,41.31
7/2/2024,Sikkim,Rice,53.6
7/2/2024,Tamil Nadu,Rice,62.37
7/2/2024,Telangana,Rice,54.33
7/2/2024,Tripura,Rice,38.25
7/2/2024,Uttar Pradesh,Rice,39.26
7/2/2024,Uttarakhand,Rice,37.75
7/2/2024,West Bengal,Rice,44.86
7/3/2024,Andaman and Nicobar,Rice,49
7/3/2024,Andhra Pradesh,Rice,60.8
7/3/2024,Arunachal pradesh,Rice,46
7/3/2024,Assam,Rice,42.52
7/3/2024,Bihar,Rice,38.43
7/3/2024,Chandigarh,Rice,40
7/3/2024,Chhattisgarh,Rice,43.14
7/3/2024,Delhi,Rice,40
7/3/2024,DNH and DD,Rice,49.67
7/3/2024,Goa,Rice,53
7/3/2024,Gujarat,Rice,43.25
7/3/2024,Haryana,Rice,39.5
7/3/2024,Himachal Pradesh,Rice,41.08
7/3/2024,Jammu and Kashmir,Rice,49.2
7/3/2024,Jharkhand,Rice,40.17
7/3/2024,Karnataka,Rice,59.58
7/3/2024,Kerala,Rice,50.31
7/3/2024,Madhya Pradesh,Rice,41.18
7/3/2024,Maharashtra,Rice,53.37
7/3/2024,Meghalaya,Rice,45.88
7/3/2024,Mizoram,Rice,48
7/3/2024,Nagaland,Rice,41.75
7/3/2024,Odisha,Rice,38.17
7/3/2024,Puducherry,Rice,65
7/3/2024,Punjab,Rice,39.87
7/3/2024,Rajasthan,Rice,41.25
7/3/2024,Sikkim,Rice,53.6
7/3/2024,Tamil Nadu,Rice,62.03
7/3/2024,Telangana,Rice,54.11
7/3/2024,Tripura,Rice,38.25
7/3/2024,Uttar Pradesh,Rice,39.28
7/3/2024,Uttarakhand,Rice,37.5
7/3/2024,West Bengal,Rice,44.64
7/4/2024,Andaman and Nicobar,Rice,49
7/4/2024,Andhra Pradesh,Rice,61
7/4/2024,Arunachal pradesh,Rice,46
7/4/2024,Assam,Rice,42.58
7/4/2024,Bihar,Rice,38.37
7/4/2024,Chandigarh,Rice,40
7/4/2024,Chhattisgarh,Rice,43.13
7/4/2024,Delhi,Rice,40
7/4/2024,DNH and DD,Rice,49.33
7/4/2024,Goa,Rice,52.5
7/4/2024,Gujarat,Rice,43.25
7/4/2024,Haryana,Rice,39.5
7/4/2024,Himachal Pradesh,Rice,41.08
7/4/2024,Jammu and Kashmir,Rice,45.71
7/4/2024,Jharkhand,Rice,40.11
7/4/2024,Karnataka,Rice,59.56
7/4/2024,Kerala,Rice,50
7/4/2024,Madhya Pradesh,Rice,41.06
7/4/2024,Maharashtra,Rice,53.26
7/4/2024,Manipur,Rice,55
7/4/2024,Meghalaya,Rice,46.3
7/4/2024,Mizoram,Rice,47.8
7/4/2024,Nagaland,Rice,41.75
7/4/2024,Odisha,Rice,39
7/4/2024,Puducherry,Rice,65
7/4/2024,Punjab,Rice,40.43
7/4/2024,Rajasthan,Rice,40.7
7/4/2024,Sikkim,Rice,53.6
7/4/2024,Tamil Nadu,Rice,61.53
7/4/2024,Telangana,Rice,54.2
7/4/2024,Tripura,Rice,38
7/4/2024,Uttar Pradesh,Rice,39.27
7/4/2024,Uttarakhand,Rice,37.5
7/4/2024,West Bengal,Rice,44.68
7/5/2024,Andaman and Nicobar,Rice,49.67
7/5/2024,Andhra Pradesh,Rice,60.4
7/5/2024,Arunachal pradesh,Rice,44.67
7/5/2024,Assam,Rice,43.04
7/5/2024,Bihar,Rice,38.12
7/5/2024,Chandigarh,Rice,40
7/5/2024,Chhattisgarh,Rice,42.44
7/5/2024,Delhi,Rice,40
7/5/2024,DNH and DD,Rice,49.67
7/5/2024,Goa,Rice,52.5
7/5/2024,Gujarat,Rice,39.2
7/5/2024,Haryana,Rice,39.5
7/5/2024,Himachal Pradesh,Rice,41
7/5/2024,Jammu and Kashmir,Rice,47.33
7/5/2024,Jharkhand,Rice,39.89
7/5/2024,Karnataka,Rice,59.71
7/5/2024,Kerala,Rice,50.42
7/5/2024,Madhya Pradesh,Rice,41.17
7/5/2024,Maharashtra,Rice,53.16
7/5/2024,Manipur,Rice,55
7/5/2024,Meghalaya,Rice,46.4
7/5/2024,Mizoram,Rice,48
7/5/2024,Nagaland,Rice,41.81
7/5/2024,Odisha,Rice,39.04
7/5/2024,Puducherry,Rice,65
7/5/2024,Punjab,Rice,40.2
7/5/2024,Rajasthan,Rice,40.66
7/5/2024,Sikkim,Rice,53.6
7/5/2024,Tamil Nadu,Rice,62.07
7/5/2024,Telangana,Rice,54.2
7/5/2024,Tripura,Rice,38
7/5/2024,Uttar Pradesh,Rice,39.37
7/5/2024,Uttarakhand,Rice,37.5
7/5/2024,West Bengal,Rice,44.61
7/6/2024,Andaman and Nicobar,Rice,49.67
7/6/2024,Andhra Pradesh,Rice,60.25
7/6/2024,Arunachal pradesh,Rice,46
7/6/2024,Assam,Rice,42.59
7/6/2024,Bihar,Rice,37.92
7/6/2024,Chandigarh,Rice,40
7/6/2024,Chhattisgarh,Rice,45
7/6/2024,Delhi,Rice,40
7/6/2024,DNH and DD,Rice,49.67
7/6/2024,Gujarat,Rice,41.29
7/6/2024,Haryana,Rice,39
7/6/2024,Himachal Pradesh,Rice,41
7/6/2024,Jammu and Kashmir,Rice,47
7/6/2024,Jharkhand,Rice,40.06
7/6/2024,Karnataka,Rice,59.47
7/6/2024,Kerala,Rice,50.62
7/6/2024,Madhya Pradesh,Rice,40.91
7/6/2024,Maharashtra,Rice,53.26
7/6/2024,Meghalaya,Rice,46
7/6/2024,Mizoram,Rice,50
7/6/2024,Nagaland,Rice,42
7/6/2024,Odisha,Rice,38.52
7/6/2024,Puducherry,Rice,65
7/6/2024,Punjab,Rice,40.07
7/6/2024,Rajasthan,Rice,40.27
7/6/2024,Sikkim,Rice,53.6
7/6/2024,Tamil Nadu,Rice,62.28
7/6/2024,Telangana,Rice,54.2
7/6/2024,Tripura,Rice,38
7/6/2024,Uttar Pradesh,Rice,39.27
7/6/2024,Uttarakhand,Rice,37.5
7/6/2024,West Bengal,Rice,43.75
7/7/2024,Andhra Pradesh,Rice,60.67
7/7/2024,Arunachal pradesh,Rice,55
7/7/2024,Assam,Rice,43.22
7/7/2024,Bihar,Rice,37.42
7/7/2024,Chandigarh,Rice,40
7/7/2024,Chhattisgarh,Rice,41.6
7/7/2024,Delhi,Rice,40
7/7/2024,DNH and DD,Rice,49.67
7/7/2024,Gujarat,Rice,41.67
7/7/2024,Haryana,Rice,39.33
7/7/2024,Himachal Pradesh,Rice,41
7/7/2024,Jammu and Kashmir,Rice,42
7/7/2024,Jharkhand,Rice,40.27
7/7/2024,Karnataka,Rice,59.45
7/7/2024,Madhya Pradesh,Rice,41.33
7/7/2024,Maharashtra,Rice,53.37
7/7/2024,Meghalaya,Rice,44.67
7/7/2024,Nagaland,Rice,40
7/7/2024,Odisha,Rice,40.56
7/7/2024,Puducherry,Rice,65
7/7/2024,Punjab,Rice,39.5
7/7/2024,Rajasthan,Rice,41.38
7/7/2024,Sikkim,Rice,57
7/7/2024,Tamil Nadu,Rice,61.35
7/7/2024,Telangana,Rice,54
7/7/2024,Uttar Pradesh,Rice,39.36
7/7/2024,Uttarakhand,Rice,35
7/7/2024,West Bengal,Rice,42
7/8/2024,Andaman and Nicobar,Rice,49
7/8/2024,Andhra Pradesh,Rice,60.2
7/8/2024,Arunachal pradesh,Rice,46.25
7/8/2024,Assam,Rice,43.41
7/8/2024,Bihar,Rice,38.19
7/8/2024,Chandigarh,Rice,40
7/8/2024,Chhattisgarh,Rice,43.13
7/8/2024,Delhi,Rice,40
7/8/2024,DNH and DD,Rice,51.33
7/8/2024,Goa,Rice,52.5
7/8/2024,Gujarat,Rice,41.5
7/8/2024,Haryana,Rice,38.75
7/8/2024,Himachal Pradesh,Rice,41
7/8/2024,Jammu and Kashmir,Rice,49.2
7/8/2024,Jharkhand,Rice,39.5
7/8/2024,Karnataka,Rice,59.55
7/8/2024,Kerala,Rice,50.43
7/8/2024,Madhya Pradesh,Rice,41.19
7/8/2024,Maharashtra,Rice,53.26
7/8/2024,Meghalaya,Rice,46.44
7/8/2024,Mizoram,Rice,48
7/8/2024,Nagaland,Rice,41.94
7/8/2024,Odisha,Rice,39.8
7/8/2024,Puducherry,Rice,65
7/8/2024,Punjab,Rice,40.07
7/8/2024,Rajasthan,Rice,40.9
7/8/2024,Sikkim,Rice,53.6
7/8/2024,Tamil Nadu,Rice,61.66
7/8/2024,Telangana,Rice,54.4
7/8/2024,Tripura,Rice,38
7/8/2024,Uttar Pradesh,Rice,39.31
7/8/2024,Uttarakhand,Rice,37
7/8/2024,West Bengal,Rice,44.48
7/9/2024,Andaman and Nicobar,Rice,49.67
7/9/2024,Andhra Pradesh,Rice,59.5
7/9/2024,Arunachal pradesh,Rice,46.5
7/9/2024,Assam,Rice,43.14
7/9/2024,Bihar,Rice,38.11
7/9/2024,Chandigarh,Rice,40
7/9/2024,Chhattisgarh,Rice,42.25
7/9/2024,Delhi,Rice,40
7/9/2024,DNH and DD,Rice,51.33
7/9/2024,Goa,Rice,53.5
7/9/2024,Gujarat,Rice,40.14
7/9/2024,Haryana,Rice,38
7/9/2024,Himachal Pradesh,Rice,40.92
7/9/2024,Jammu and Kashmir,Rice,50
7/9/2024,Jharkhand,Rice,39.28
7/9/2024,Karnataka,Rice,59.53
7/9/2024,Kerala,Rice,50.57
7/9/2024,Madhya Pradesh,Rice,39.59
7/9/2024,Maharashtra,Rice,52.89
7/9/2024,Manipur,Rice,53
7/9/2024,Meghalaya,Rice,46.3
7/9/2024,Mizoram,Rice,48
7/9/2024,Nagaland,Rice,42.25
7/9/2024,Odisha,Rice,38.96
7/9/2024,Puducherry,Rice,65
7/9/2024,Punjab,Rice,40.07
7/9/2024,Rajasthan,Rice,41.53
7/9/2024,Sikkim,Rice,55.5
7/9/2024,Tamil Nadu,Rice,61.55
7/9/2024,Telangana,Rice,54.2
7/9/2024,Tripura,Rice,38
7/9/2024,Uttar Pradesh,Rice,39.17
7/9/2024,Uttarakhand,Rice,37.25
7/9/2024,West Bengal,Rice,44.52
7/10/2024,Andaman and Nicobar,Rice,50.33
7/10/2024,Andhra Pradesh,Rice,53.75
7/10/2024,Arunachal pradesh,Rice,46.67
7/10/2024,Assam,Rice,43.15
7/10/2024,Bihar,Rice,37.64
7/10/2024,Chhattisgarh,Rice,36.14
7/10/2024,Delhi,Rice,40
7/10/2024,DNH and DD,Rice,49
7/10/2024,Goa,Rice,52
7/10/2024,Gujarat,Rice,40
7/10/2024,Haryana,Rice,36.25
7/10/2024,Himachal Pradesh,Rice,41.25
7/10/2024,Jammu and Kashmir,Rice,45.33
7/10/2024,Jharkhand,Rice,39.33
7/10/2024,Karnataka,Rice,54.69
7/10/2024,Kerala,Rice,50.36
7/10/2024,Madhya Pradesh,Rice,38.11
7/10/2024,Maharashtra,Rice,47.79
7/10/2024,Manipur,Rice,52
7/10/2024,Meghalaya,Rice,46.5
7/10/2024,Mizoram,Rice,48.64
7/10/2024,Nagaland,Rice,43.14
7/10/2024,Odisha,Rice,37.9
7/10/2024,Puducherry,Rice,65
7/10/2024,Punjab,Rice,39.55
7/10/2024,Rajasthan,Rice,40.5
7/10/2024,Sikkim,Rice,51.2
7/10/2024,Tamil Nadu,Rice,57.38
7/10/2024,Telangana,Rice,55.3
7/10/2024,Tripura,Rice,38
7/10/2024,Uttar Pradesh,Rice,39.78
7/10/2024,Uttarakhand,Rice,35.5
7/10/2024,West Bengal,Rice,43.1
7/11/2024,Andaman and Nicobar,Rice,50
7/11/2024,Andhra Pradesh,Rice,52.4
7/11/2024,Arunachal pradesh,Rice,46.5
7/11/2024,Assam,Rice,43
7/11/2024,Bihar,Rice,38.05
7/11/2024,Chandigarh,Rice,40
7/11/2024,Chhattisgarh,Rice,42.78
7/11/2024,Delhi,Rice,40
7/11/2024,DNH and DD,Rice,51.33
7/11/2024,Goa,Rice,53.5
7/11/2024,Gujarat,Rice,41
7/11/2024,Haryana,Rice,37.5
7/11/2024,Himachal Pradesh,Rice,40.92
7/11/2024,Jammu and Kashmir,Rice,47.5
7/11/2024,Jharkhand,Rice,39.33
7/11/2024,Karnataka,Rice,59.66
7/11/2024,Kerala,Rice,50.5
7/11/2024,Madhya Pradesh,Rice,40.08
7/11/2024,Maharashtra,Rice,52.21
7/11/2024,Manipur,Rice,50
7/11/2024,Meghalaya,Rice,46.3
7/11/2024,Mizoram,Rice,48
7/11/2024,Nagaland,Rice,42.87
7/11/2024,Odisha,Rice,38.75
7/11/2024,Puducherry,Rice,67
7/11/2024,Punjab,Rice,40.31
7/11/2024,Rajasthan,Rice,41.53
7/11/2024,Sikkim,Rice,54.2
7/11/2024,Tamil Nadu,Rice,61.52
7/11/2024,Telangana,Rice,54.3
7/11/2024,Tripura,Rice,38
7/11/2024,Uttar Pradesh,Rice,39.29
7/11/2024,Uttarakhand,Rice,37
7/11/2024,West Bengal,Rice,44.65
7/12/2024,Andaman and Nicobar,Rice,53.5
7/12/2024,Andhra Pradesh,Rice,52
7/12/2024,Arunachal pradesh,Rice,48.5
7/12/2024,Assam,Rice,43.75
7/12/2024,Bihar,Rice,38.4
7/12/2024,Chandigarh,Rice,40
7/12/2024,Chhattisgarh,Rice,42.56
7/12/2024,Delhi,Rice,40
7/12/2024,DNH and DD,Rice,51.33
7/12/2024,Goa,Rice,53.5
7/12/2024,Gujarat,Rice,42.33
7/12/2024,Haryana,Rice,37.5
7/12/2024,Himachal Pradesh,Rice,40.83
7/12/2024,Jammu and Kashmir,Rice,45.2
7/12/2024,Jharkhand,Rice,39.39
7/12/2024,Karnataka,Rice,59.94
7/12/2024,Kerala,Rice,50.5
7/12/2024,Madhya Pradesh,Rice,39.85
7/12/2024,Maharashtra,Rice,52.11
7/12/2024,Manipur,Rice,50
7/12/2024,Meghalaya,Rice,46.3
7/12/2024,Mizoram,Rice,47.8
7/12/2024,Nagaland,Rice,43
7/12/2024,Odisha,Rice,38.85
7/12/2024,Puducherry,Rice,67
7/12/2024,Punjab,Rice,39.87
7/12/2024,Rajasthan,Rice,41.06
7/12/2024,Sikkim,Rice,51.2
7/12/2024,Tamil Nadu,Rice,61.42
7/12/2024,Telangana,Rice,54.7
7/12/2024,Tripura,Rice,38
7/12/2024,Uttar Pradesh,Rice,39.27
7/12/2024,Uttarakhand,Rice,37
7/12/2024,West Bengal,Rice,44.55
7/13/2024,Andaman and Nicobar,Rice,47.5
7/13/2024,Andhra Pradesh,Rice,50
7/13/2024,Arunachal pradesh,Rice,47
7/13/2024,Assam,Rice,41.9
7/13/2024,Bihar,Rice,38.05
7/13/2024,Chandigarh,Rice,40
7/13/2024,Chhattisgarh,Rice,43.83
7/13/2024,Delhi,Rice,40
7/13/2024,DNH and DD,Rice,51.33
7/13/2024,Gujarat,Rice,41
7/13/2024,Haryana,Rice,37.33
7/13/2024,Himachal Pradesh,Rice,40.83
7/13/2024,Jammu and Kashmir,Rice,49.8
7/13/2024,Jharkhand,Rice,39.05
7/13/2024,Karnataka,Rice,60.06
7/13/2024,Madhya Pradesh,Rice,39.61
7/13/2024,Maharashtra,Rice,52
7/13/2024,Meghalaya,Rice,45.43
7/13/2024,Mizoram,Rice,50
7/13/2024,Nagaland,Rice,43.31
7/13/2024,Odisha,Rice,39.2
7/13/2024,Punjab,Rice,39.21
7/13/2024,Rajasthan,Rice,40.18
7/13/2024,Sikkim,Rice,49
7/13/2024,Tamil Nadu,Rice,62.55
7/13/2024,Telangana,Rice,54.67
7/13/2024,Tripura,Rice,38
7/13/2024,Uttar Pradesh,Rice,39.39
7/13/2024,Uttarakhand,Rice,35
7/13/2024,West Bengal,Rice,43.94
7/14/2024,Andhra Pradesh,Rice,52
7/14/2024,Arunachal pradesh,Rice,55
7/14/2024,Assam,Rice,42.35
7/14/2024,Bihar,Rice,37.8
7/14/2024,Chandigarh,Rice,40
7/14/2024,Chhattisgarh,Rice,43.83
7/14/2024,Delhi,Rice,40
7/14/2024,DNH and DD,Rice,51.33
7/14/2024,Gujarat,Rice,40.67
7/14/2024,Haryana,Rice,37.33
7/14/2024,Himachal Pradesh,Rice,40.83
7/14/2024,Jammu and Kashmir,Rice,45
7/14/2024,Jharkhand,Rice,38.63
7/14/2024,Karnataka,Rice,59.93
7/14/2024,Madhya Pradesh,Rice,40.27
7/14/2024,Maharashtra,Rice,52.05
7/14/2024,Meghalaya,Rice,44.33
7/14/2024,Mizoram,Rice,50
7/14/2024,Odisha,Rice,38.33
7/14/2024,Puducherry,Rice,67
7/14/2024,Punjab,Rice,39.25
7/14/2024,Rajasthan,Rice,41.29
7/14/2024,Sikkim,Rice,57
7/14/2024,Tamil Nadu,Rice,61.62
7/14/2024,Telangana,Rice,55
7/14/2024,Uttar Pradesh,Rice,39.33
7/14/2024,West Bengal,Rice,43.15
7/15/2024,Andaman and Nicobar,Rice,49.67
7/15/2024,Andhra Pradesh,Rice,49.75
7/15/2024,Arunachal pradesh,Rice,47
7/15/2024,Assam,Rice,42.78
7/15/2024,Bihar,Rice,37.97
7/15/2024,Chandigarh,Rice,40
7/15/2024,Chhattisgarh,Rice,42.25
7/15/2024,Delhi,Rice,40
7/15/2024,DNH and DD,Rice,52
7/15/2024,Goa,Rice,53.5
7/15/2024,Gujarat,Rice,39.83
7/15/2024,Haryana,Rice,37.33
7/15/2024,Himachal Pradesh,Rice,41
7/15/2024,Jammu and Kashmir,Rice,46.14
7/15/2024,Jharkhand,Rice,39
7/15/2024,Karnataka,Rice,60.13
7/15/2024,Kerala,Rice,49.92
7/15/2024,Madhya Pradesh,Rice,40.24
7/15/2024,Maharashtra,Rice,52
7/15/2024,Manipur,Rice,50
7/15/2024,Meghalaya,Rice,46.3
7/15/2024,Mizoram,Rice,48
7/15/2024,Nagaland,Rice,42.8
7/15/2024,Odisha,Rice,38.92
7/15/2024,Puducherry,Rice,67
7/15/2024,Punjab,Rice,39.93
7/15/2024,Rajasthan,Rice,40.86
7/15/2024,Sikkim,Rice,51.2
7/15/2024,Tamil Nadu,Rice,61.55
7/15/2024,Telangana,Rice,54.8
7/15/2024,Tripura,Rice,37.33
7/15/2024,Uttar Pradesh,Rice,39.43
7/15/2024,Uttarakhand,Rice,37.25
7/15/2024,West Bengal,Rice,44.57
7/16/2024,Andaman and Nicobar,Rice,50.33
7/16/2024,Andhra Pradesh,Rice,51.8
7/16/2024,Arunachal pradesh,Rice,46
7/16/2024,Assam,Rice,41.88
7/16/2024,Bihar,Rice,38.03
7/16/2024,Chandigarh,Rice,43
7/16/2024,Chhattisgarh,Rice,43.38
7/16/2024,Delhi,Rice,40
7/16/2024,DNH and DD,Rice,52
7/16/2024,Goa,Rice,53.5
7/16/2024,Gujarat,Rice,40
7/16/2024,Haryana,Rice,38
7/16/2024,Himachal Pradesh,Rice,41
7/16/2024,Jammu and Kashmir,Rice,47.83
7/16/2024,Jharkhand,Rice,39.16
7/16/2024,Karnataka,Rice,59.58
7/16/2024,Madhya Pradesh,Rice,39.98
7/16/2024,Maharashtra,Rice,52.05
7/16/2024,Manipur,Rice,50
7/16/2024,Meghalaya,Rice,46.3
7/16/2024,Mizoram,Rice,48
7/16/2024,Nagaland,Rice,43.27
7/16/2024,Odisha,Rice,38.74
7/16/2024,Puducherry,Rice,67
7/16/2024,Punjab,Rice,39.29
7/16/2024,Rajasthan,Rice,40.96
7/16/2024,Sikkim,Rice,51.75
7/16/2024,Tamil Nadu,Rice,61.56
7/16/2024,Telangana,Rice,54.8
7/16/2024,Tripura,Rice,38
7/16/2024,Uttar Pradesh,Rice,39.52
7/16/2024,Uttarakhand,Rice,37
7/16/2024,West Bengal,Rice,45.05
7/17/2024,Andaman and Nicobar,Rice,50.33
7/17/2024,Andhra Pradesh,Rice,52.2
7/17/2024,Arunachal pradesh,Rice,46.5
7/17/2024,Assam,Rice,42.77
7/17/2024,Bihar,Rice,38.13
7/17/2024,Chandigarh,Rice,44
7/17/2024,Chhattisgarh,Rice,42.89
7/17/2024,Delhi,Rice,40
7/17/2024,DNH and DD,Rice,52
7/17/2024,Goa,Rice,53.5
7/17/2024,Gujarat,Rice,41.5
7/17/2024,Haryana,Rice,38.25
7/17/2024,Himachal Pradesh,Rice,41.08
7/17/2024,Jammu and Kashmir,Rice,47.67
7/17/2024,Jharkhand,Rice,39.21
7/17/2024,Karnataka,Rice,59.69
7/17/2024,Kerala,Rice,50.5
7/17/2024,Madhya Pradesh,Rice,39.81
7/17/2024,Maharashtra,Rice,52
7/17/2024,Manipur,Rice,50
7/17/2024,Meghalaya,Rice,46.3
7/17/2024,Mizoram,Rice,48
7/17/2024,Nagaland,Rice,43.19
7/17/2024,Odisha,Rice,38.74
7/17/2024,Puducherry,Rice,67
7/17/2024,Punjab,Rice,39.73
7/17/2024,Rajasthan,Rice,40.96
7/17/2024,Sikkim,Rice,51.2
7/17/2024,Tamil Nadu,Rice,61.59
7/17/2024,Telangana,Rice,54.8
7/17/2024,Tripura,Rice,38
7/17/2024,Uttar Pradesh,Rice,39.45
7/17/2024,Uttarakhand,Rice,37
7/17/2024,West Bengal,Rice,45.23
7/18/2024,Andaman and Nicobar,Rice,50.67
7/18/2024,Andhra Pradesh,Rice,53.2
7/18/2024,Arunachal pradesh,Rice,46.5
7/18/2024,Assam,Rice,43.21
7/18/2024,Bihar,Rice,38.05
7/18/2024,Chandigarh,Rice,45
7/18/2024,Chhattisgarh,Rice,42.29
7/18/2024,Delhi,Rice,40
7/18/2024,DNH and DD,Rice,52
7/18/2024,Goa,Rice,53.5
7/18/2024,Gujarat,Rice,41.63
7/18/2024,Haryana,Rice,38.5
7/18/2024,Himachal Pradesh,Rice,41.08
7/18/2024,Jammu and Kashmir,Rice,49.6
7/18/2024,Jharkhand,Rice,39.24
7/18/2024,Karnataka,Rice,59.42
7/18/2024,Kerala,Rice,50.57
7/18/2024,Madhya Pradesh,Rice,39.71
7/18/2024,Maharashtra,Rice,51.95
7/18/2024,Manipur,Rice,50
7/18/2024,Meghalaya,Rice,46.3
7/18/2024,Mizoram,Rice,48
7/18/2024,Nagaland,Rice,43.19
7/18/2024,Odisha,Rice,38.82
7/18/2024,Puducherry,Rice,67
7/18/2024,Punjab,Rice,39.87
7/18/2024,Rajasthan,Rice,41.45
7/18/2024,Sikkim,Rice,49
7/18/2024,Tamil Nadu,Rice,61.88
7/18/2024,Telangana,Rice,55
7/18/2024,Tripura,Rice,37.33
7/18/2024,Uttar Pradesh,Rice,39.45
7/18/2024,Uttarakhand,Rice,37
7/18/2024,West Bengal,Rice,44.7
7/19/2024,Andaman and Nicobar,Rice,50.5
7/19/2024,Andhra Pradesh,Rice,53.25
7/19/2024,Arunachal pradesh,Rice,46.5
7/19/2024,Assam,Rice,43.52
7/19/2024,Bihar,Rice,38.14
7/19/2024,Chandigarh,Rice,44
7/19/2024,Chhattisgarh,Rice,42.5
7/19/2024,Delhi,Rice,40
7/19/2024,DNH and DD,Rice,52
7/19/2024,Goa,Rice,53.5
7/19/2024,Gujarat,Rice,41.5
7/19/2024,Haryana,Rice,38.5
7/19/2024,Himachal Pradesh,Rice,41.08
7/19/2024,Jammu and Kashmir,Rice,47.67
7/19/2024,Jharkhand,Rice,38.89
7/19/2024,Karnataka,Rice,59.28
7/19/2024,Kerala,Rice,50.18
7/19/2024,Madhya Pradesh,Rice,39.52
7/19/2024,Maharashtra,Rice,51.42
7/19/2024,Manipur,Rice,50
7/19/2024,Meghalaya,Rice,46.3
7/19/2024,Mizoram,Rice,47.7
7/19/2024,Nagaland,Rice,42.87
7/19/2024,Odisha,Rice,38.92
7/19/2024,Puducherry,Rice,67
7/19/2024,Punjab,Rice,40.33
7/19/2024,Rajasthan,Rice,41.55
7/19/2024,Sikkim,Rice,51.2
7/19/2024,Tamil Nadu,Rice,61.5
7/19/2024,Telangana,Rice,54.9
7/19/2024,Tripura,Rice,38
7/19/2024,Uttar Pradesh,Rice,39.43
7/19/2024,Uttarakhand,Rice,37.25
7/19/2024,West Bengal,Rice,44.52
7/20/2024,Andaman and Nicobar,Rice,51.33
7/20/2024,Andhra Pradesh,Rice,51.67
7/20/2024,Arunachal pradesh,Rice,46.5
7/20/2024,Assam,Rice,43.15
7/20/2024,Bihar,Rice,37.83
7/20/2024,Chandigarh,Rice,44
7/20/2024,Chhattisgarh,Rice,44.33
7/20/2024,Delhi,Rice,40
7/20/2024,DNH and DD,Rice,51.67
7/20/2024,Gujarat,Rice,41.75
7/20/2024,Haryana,Rice,37.67
7/20/2024,Himachal Pradesh,Rice,41.08
7/20/2024,Jammu and Kashmir,Rice,47.67
7/20/2024,Jharkhand,Rice,38.56
7/20/2024,Karnataka,Rice,58.84
7/20/2024,Kerala,Rice,50.88
7/20/2024,Madhya Pradesh,Rice,39.63
7/20/2024,Maharashtra,Rice,50.16
7/20/2024,Meghalaya,Rice,45.75
7/20/2024,Mizoram,Rice,50
7/20/2024,Nagaland,Rice,43.31
7/20/2024,Odisha,Rice,38.92
7/20/2024,Punjab,Rice,40.33
7/20/2024,Rajasthan,Rice,38.75
7/20/2024,Sikkim,Rice,51.2
7/20/2024,Tamil Nadu,Rice,61.82
7/20/2024,Telangana,Rice,54.9
7/20/2024,Tripura,Rice,38
